"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp /
Date : 19th December 2020 at 1800hrs",,,,,,,,,,,,,,,,,,,"Reported
Date","Reported
Time"
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp Date
of commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks",,
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය පරිමාණ
වයාපාරික ස්ත්‍රථාන
சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",,,
"උතුරු පලාත
tl khfhzk
Northen",1,"යාපනය
aho;g;ghzk;
Jaffna",Kopay,(Burevi) Cyclone,2020.12.02,,,,,,,,,,1,1,6,,,
,,,Thellipalai,Flood,2020.12.15,47,168,,,,,,,,,,,,,
,,,,,2020.12.19,4,17,,,,,,,,,,,,,
,,,Sandilippai,,2020.12.15,15,62,,,,,,,,,,,,,
,,,,,2020.12.19,54,181,,,,,9,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,120,428,0,0,0,0,9,0,0,1,1,6,,,
,2,"කිලිවනාච්චිය
fpspnehr;rp
Killinochchi",Karachchi,(Burevi) Cyclone,2020.12.02,720,2213,,,,,40,,6,,,,,,
,,,Kandawalai,,,249,676,,,,,8,,,,,,,,
,,,Poonakary,,,854,2228,,,,4,198,,,,,,,,
,,,Pachchilaipallal,,,299,983,,,,,34,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,2122,6100,0,0,0,4,280,0,6,0,0,0,,,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,2242,6528,0,0,0,4,289,0,6,1,1,6,,,
"මධයම පලාත
kj;jpa khfhzk;
Central",3,"මහනුෙර
fz;b
Kandy",Paathhewaheta,High Wind,2020.12.09,1,1,,,,,1,,,,,,,,
,,,Delthota,,2020.12.10,2,3,,,,,2,,,,,,,,
,,,Udunuwara,,2020.12.07,1,4,,,,,1,,,,,,,,
,,,Meda dumbara,,2020.12.08,2,8,,,,,1,1,,,,,,,
,,,Yatinuwara,,2020.12.05,3,12,,,,,3,,,,,,,,
,,,Ganga Ihala Korale,,2020.12.12,1,3,,,,,1,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,10,31,0,0,0,0,9,1,0,0,0,0,,,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,10,31,0,0,0,0,9,1,0,0,0,0,,,
"දකුනු පලාත njd;
khfhzk
Southern",4,"හම්බනවතාට
`k;ghe;Njhl;l
Hambantota",Sooriyawewa,Elephant attack,2020.12.16,2,6,1,1,,,1,,,,,,,,
,,,,Heavy rain,,1,1,,,,1,,,,,,,,,
,,,Hambanthota,Drawning,,1,1,1,,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,4,8,2,1,0,1,1,0,0,0,0,0,,,
