,9,"කෑගල්ල
Nffhiy Kegalle",Dehiowita,High Wind,2020.08.06,54,203,Page 3,,,,4,,,,,,Situation Re
,,,Mawanella,Tree Fallen,2020.08.06,9,34,,1,,,9,,,,,,
,,,,,2020.08.07,1,5,,,,,1,,,,,,
,,,,,2020.08.08,2,8,,,,,2,,,,,,
,,,,High Wind,2020.08.07,1,4,,,,,1,,,,,,
,,,,Wall Collapse,2020.08.08,1,4,,,,,1,,,,,,
,,,,Cutting Failure,,1,4,,,,,1,,,,,,
,,,,Rock Fallen,2020.08.09,1,4,,,,,1,,,,,,
,,,Warakapola,High Wind,2020.08.06,2,8,,,,,2,,,,,,
,,,Deraniyagala,,2020.08.06,20,84,,,,,20,,,,,,
,,,Bulathkohupititya,,2020.08.06,2,9,,,,,2,,,,,,
,,,Aranayaka,Tree Fallen,2020.08.06,4,13,,,,1,3,,,,,,
,,,,High Wind,2020.08.02,1,4,,,,,1,,,,,,
,,,,,2020.08.04,1,6,,,,,1,,,,,,
,,,,,2020.08.07,1,3,,,,,1,,,,,,
,,,Galigamuwa,Tree Fallen,2020.07.29,1,5,,,,,1,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,102,398,0,1,0,1,51,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1498,5672,0,2,0,16,1421,0,0,0,0,0,
"වයඹ පලාත
tlNky; khfhzk;
North Western",10,"කුරුණෑගල
FUdhfy;
Kurunegala",Pannala,High Wind,2020.08.05,1,4,,,,,1,,,,,,
,,,Wariyapola,,,1,1,,,,,1,,,,,,
,,,Polpitigama,,,7,26,,,,,7,,,,,,
,,,Giribawa,,,31,168,,,,8,23,,1,,,,
,,,Maho,,,1,4,,1,,,1,,1,,,,
,,,Polgahawela,,,3,10,,,,,3,1,,,,,
,,,Panduwasnuwara West,,,14,51,,,,,14,,,,,,
,,,Galgamuwa,,,3,15,,,,,1,1,,,,,
,,,Kurunegala,,,18,76,,,,,18,,,,,,
,,,Ambanpola,,,4,12,,,,,4,,,,,,
,,,Mallawapitiya,,,20,85,,,,,17,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,103,452,0,1,0,8,90,2,2,0,0,0,
,11,"පුත්තලම
Gj;jsk;
Puttalam",Mundalama,High Wind,2020.08.05,61,254,,,,,61,,1,,,,
,,,karuwalagaswewa,,,22,80,,,,,22,1,1,,,,
,,,Wanathavilluwa,,,18,68,,,,,7,11,,,,,
,,,Pallama,,,2,7,,,,,2,,,,,,
,,,,,2020.08.06,1,3,,,,,1,,,,,,
,,,Anamaduwa,,2020.08.05,7,22,,,,,7,,,,,,
,,,,,2020.08.06,1,4,,,,,1,,,,,,
,,,Naththandiya,,2020.08.05,3,15,,,,,3,,,,,,
,,,,,2020.08.08,1,4,,,,,1,,,,,,
,,,Halawatha,,2020.08.06,3,12,,,,,3,,,,,,
,,,Kalpitiya,,2020.08.07,1,3,,,,,,,,,,,
,,,Mahakubukkadawala,Elephant Attack,2020.08.10,1,1,1,,,,,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,121,473,1,0,0,0,108,12,2,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,224,925,1,1,0,8,198,14,4,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,2716,10359,1,14,0,34,2577,18,4,0,0,0,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
කවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
