"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :03rd January 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,1,gJs;is,Kandakatiya,Heavy Rain / Wind,2023.12.31/2024.01.01,2,6,,,,,2,,,,,,
,,Badulla,Mahiyanganaya,Heavy Rain / Wind,2023.12.29 -31,6,22,,,,,6,1,,,,,
,,,,Heavy Rain,2024.01.01,25,99,,,,,6,,,,,,
,,,"Soranatota
Meegahakiula
Uwaparanagama",Heavy Rain,2023.12.29 -31,2,5,,,,,1,,,,,,
,,,,Heavy Rain / Wind,2024.01.02,10,28,,,,,10,,,,,,
,,,,Heavy Rain,2024.01.01,8,28,,,,,8,,,,,,
,,,Badulla,Cutting Faliure,"2023.12.27-
2024.01.01",11,29,,,,,10,,,,,,
,,,Passara,Landslide Risk,2023.12.30,67,194,,,,,,,,1,23,58,1. 3 Tamil collage
,,,,,2023.12.31,7,34,,,,,,,,1,7,34,"2. Tholabowatta jaynthi
collage"
,,,Lunugala,Landslide Risk,2023.12.30,51,156,,,,,,,,1,51,156,Galulla Tamil collage
,,,,,2023.12.30,25,75,,,,,,,,1,25,75,Uwakele Tamil collage
,,,,,2023.12.31,124,387,,,,,,,,1,101,319,"Vigneshwara tamil
collage"
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,641,2143,0,0,0,3,87,3,0,13,337,1078,
,2,"ම ානරාගල
nkhdwhfiy
Moneragala",Monaragala,Cutting Faliure,2023.12.29,16,66,,,,,,,,1,16,66,"Youth Center
Monaragala"
,,,Badalkumbura,Tree Fallen,2024.01.01,2,7,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,18,73,0,0,0,0,1,0,0,1,16,66,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,659,2216,0,0,0,3,88,3,0,14,353,1144,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",3,රත්නපුර,Embilipitiya,Landslide Risk,2023.12.22,,,,,,,,,,1,6,29,"Hingura Community
Center"
,,",uj;jpdGhp",Balangoda,Heavy Rain,2024.01.01,1,4,,,,,1,,,,,,
,,Rathnapura,Weligepola,Heavy Rain,2024.01.02,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,6,0,0,0,0,2,0,0,1,6,29,
,4,කෑගල්ල,Dehiowita,Tree Fallen,2024.01.01,1,3,,,,,1,,,,,,
,,Nffhiy Kegalle,Warakapola,High Wind,2024.01.01,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,13,0,0,0,0,4,0,0,1,6,29,
,5,,Verugal,Flood,2023.12.31,286,807,,,,,,,,2,234,688,
,,ත්‍රීකුණා ලය,Kinniya,,2023.12.30,139,297,,,,,,,,,,,
,,jp.kiy,,High Wind,2024.01.01,1,7,,,,,1,,,,,,
,,Trincomalee,Seruwila,Flood,2024.01.01,19,65,,,,,,,,1,19,65,
,,,Muthur,Flood,2024.01.01,53,163,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,498,1339,0,0,0,0,1,0,0,3,253,753,
