Weather Forecast for Main Cities Date : 23-Sep-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,34,25,90,65,A few showers
Batticaloa,34,25,90,70,Showers or thundershowers are likely after 2.00p.m
Colombo,30,25,95,80,Showers or thundershowers at times
Galle,29,24,95,85,Showers or thundershowers at times
Jaffna,30,27,85,70,A few showers
Kandy,28,22,95,85,Showers or thundershowers at times
Nuwara-Eliya,18,14,95,85,Showers or thundershowers at times
Ratnapura,30,24,95,85,Showers or thundershowers at times
Trincomalee,34,26,85,65,Showers or thundershowers are likely after 2.00p.m
Mannar,32,26,85,70,Several spells of showers
