,11,"පුත්තලම
Gj;jsk;
Puttalam",Mundalama,High Wind,2020.08.05,61,254,Page 4,,,,61,,1,,,,
,,,karuwalagaswewa,,,22,80,,,,,22,1,1,,,,
,,,Wanathavilluwa,,,18,68,,,,,7,11,,,,,
,,,Pallama,,,1,7,,,,,2,,,,,,
,,,,,2020.08.06,1,3,,,,,1,,,,,,
,,,Anamaduwa,,2020.08.05,7,22,,,,,7,,,,,,
,,,,,2020.08.06,1,4,,,,,1,,,,,,
,,,Naththandiya,,2020.08.05,1,15,,,,,3,,,,,,
,,,,,2020.08.08,1,4,,,,,1,,,,,,
,,,Halawatha,,2020.08.06,3,12,,,,,3,,,,,,
,,,Kalpitiya,,2020.08.07,1,3,,,,,,,,,,,
,,,Wennappuwa,,2020.08.09,1,4,,,,,1,,,,,,
,,,Mahakubukkadawala,,2020.08.09,1,3,,,,,1,,,,,,
,,,,Elephant Attack,2020.08.10,1,1,1,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,120,480,1,0,0,0,110,12,2,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,223,932,1,1,0,8,200,14,4,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,2757,10521,1,14,0,58,2586,18,4,1,35,125,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
කවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
