"වයඹ පලොත
tlNky; khfhzk
North Western",10,"පුත්තලම
Gj;jsk; Puttalam",Nattandiya,High Wind,2024.06.03-06,46,167,,,,,24,,,,,,
,,,Wennappuwa,Flood,2024.06.03,8,28,,,,,,,,,,,
,,,Mahawewa,Flood,2024.06.06,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,55,197,0,0,0,0,25,0,0,0,0,0,
,11,,Bingiriya,High Wind,2024.05.31,1,6,,,,,,1,,,,,
,,,,High Wind,2024.05.31,1,1,,,,,1,,,,,,
,,,Paduwasnuwara West,High Wind,2024.06.01-02,3,10,,,,,3,,,,,,
,,,Wariyapola,High Wind,2024.06.02,1,3,,,,,1,,,,,,
,,,,High Wind,2024.06.02,101,384,,,,,98,3,,,,,
,,කුරුණෑගල,Kuliyapitiya East,Flood,2024.06.02,4,20,,,,,1,,,,,,
,,"FUdhfy;
Kurunegala",Kobeigane,Lightning,2024.06.02,1,4,,,,,1,,,,,,
,,,Pannala,High Wind,2024.05.31,1,3,,,,,1,,,,,,
,,,Paduwasnuwara East,High Wind,2024.06.02,1,2,,,,,1,,,,,,
,,,,High Wind,2024.06.02,14,48,,,,,14,1,,,,,
,,,Udubaddawa,Flood,2024.06.02,,,,,,,,1,,,,,
,,,Narammala,High Wind,2024.06.02,5,18,,,,,5,1,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,133,499,0,0,0,0,126,7,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,188,696,0,0,0,0,151,7,0,0,0,0,
"මධ්‍යම පලොත
kj;jpa khfhzk;
Central",12,"නුවර
fz;b
Kandy",Gaga Ihala Koralaya,Heavy Rain,2024.06.02,1,2,,,,,1,,,,,,
,,,Pasbage,,2024.06.03,1,5,,,,,1,,,,,,
,,,Akurana,,2024.06.05,1,5,,,,,1,,,,,,
,,,Udapalatha,,2024.06.03,1,2,,,,,1,,,,,,
,,,Hataraliyadda,,2024.06.02,1,4,,,,,1,,,,,,
,,,Panvila,,2024.05.29,2,7,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,7,25,0,0,0,0,7,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,7,25,0,0,0,0,7,0,0,0,0,0,
"ඌව
Cth khfhzk;
Uva",14,"බදුල්ල
gJs;is Badulla",Megahakiula,High Wind,2024.06.04,1,3,,,,,1,,,,,,
,,,Haputale,High Wind,2024.06.01,2,9,,,,,2,,,,,,
,,,Haliela,Heavy Rain,2024.06.02,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,16,0,0,0,0,4,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,16,0,0,0,0,4,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,32296,121176,24,7,1,77,5678,1048,76,19,147,513,
,,,ආ ප ද ො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"නවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
