,8,"කිලි්නොච්චිය
fpspnehr;rp
Killinochchi",Karachchi,Drought,2020.07.08,233,832,Page 2,,,,,,,,,,Situation Re
,,,Poonakary,,2020.04.22,2241,7492,,,,,,,,,,,
,,,Pachchilaipalai,,2020.05.41,465,1434,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2939,9758,0,0,0,0,0,0,0,0,0,0,
"උතුරු පලොත
tl khfhzk
Northen",9,"මනනොරම
kd;dhH
Mannar",Nanattan,Drought,2020.07.07,262,768,,,,,,,,,,,
,,,Musali,,,3260,12810,,,,,,,,,,,
,,,Manthai West,,,5623,20500,,,,,,,,,,,
,,,Madhu,,,237,727,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,9382,34805,0,0,0,0,0,0,0,0,0,0,
,10,"වව්නියොව
tTdpah
Vavuniya",Vavuniya North,Drought,2020.06.18,46,173,,,,,,,,,,,
,,,Vengala Cheddikulam,,2020.06.17,40,130,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,86,303,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,33427,115542,0,0,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,64990,216669,0,0,0,0,0,0,0,0,0,0,0
,,,"රොජකොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ො ක ළමනොකරණ මධයස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
්වබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
,,,H.D.G. Priyantha,,,,,,,,,,,,,,,
