"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 30th May 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
"උතුරු පලාත
tl khfhzk;
Northen",2,"යාපනය
aho;g;ghzk;
Jaffna",Karainagar,High Wind,2025.05.25,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,2,0,0,0,0,1,0,0,0,0,0,
,3,"කිලිනනාච්චිය
fpspnehr;rp
Killinochchi",Pachchilaipalli,High wind,2025.05.27,2,7,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,3,9,0,0,0,0,3,0,0,0,0,0,
"දකුණු පලාත
njd; khfhzk;
Southern",4,,Beliatta,,2025.05.20,1,1,,,,,1,,,,,,
,,,Okewela,,,4,12,,,,,4,,,,,,
,,හම්බනනතාට,Katuwana,,2025.05.21,7,30,,,,,7,,,,,,
,,"`k;ghe;Njhl;il
Hambantota",Hambanthota,High Wind,2025.05.19,1,1,,,,,1,,,,,,
,,,Thangalla,,2025.05.26,1,4,,,,,1,,,,,,
,,,Walasmulla,,2025.05.24,2,8,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,16,56,0,0,0,0,16,0,0,0,0,0,
,5,"ගාල්ල
fhyp
Galle",Niyagama,High Wind,2025.05.26,1,8,,,,,1,,,,,,
,,,Nagoda,High Wind,2025.05.26,1,3,,,,,1,,,,,,
,,,Elpitiya,High Wind,2025.05.24,1,4,,,,,1,,,,,,
,,,Elpitiya,High Wind,2025.05.28,1,3,,,,,1,,,,,,
,,,Ambalangoda,High Wind,2025.05.28,6,17,,,,,6,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,10,35,0,0,0,0,10,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,26,91,0,0,0,0,26,0,0,0,0,0,
,6,"කළුතර
fSj;Jiw
Kalutara",Agalawattha,High Wind,2025.05.27,1,3,,,,,1,,,,,,
,,,Kaluthara,,,2,8,,,,,2,,,,,,
,,,Horana,,,7,31,,,,,7,,,,,,
,,,Panadura,,,1,3,,,,,1,,,,,,
,,,Mathugama,,2025.05.26,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,12,49,0,0,0,0,12,0,0,0,0,0,
