River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.50,0.50,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.66,0.68,Normal,,4.6,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.04,9.03,Normal,,5.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.55,1.55,Normal,,31.8,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.20,0.20,Normal,,5.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.54,0.63,Normal,,,15.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.46,0.46,Normal,,7.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.25,0.20,Normal,,,15.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.46,4.52,Normal,,33.3,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.09,1.17,Normal,,23,,.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.91,1.01,Normal,,45.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.02,2.04,Normal,,36.9,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.26,1.26,Normal,,1.3,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.27,1.30,Normal,,26,,.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.20,0.20,Normal,,2.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,1.98,1.98,Normal,,5.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.21,0.21,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.07,-0.07,Normal,,3.2,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.78,0.80,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,-0.02,-0.02,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.52,0.52,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.95,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.17,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.04,0.04,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.26,-0.27,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.16,-3.16,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.40,1.60,Normal,,2.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.10,1.13,Normal,,21,,.8,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.09,0.09,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.22,1.21,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.43,0.43,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.89,0.88,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.04,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.02,0.02,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.80,1.80,Normal,,8.6,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.74,0.74,Normal,,10.9,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.58,0.58,Normal,,5.5,,,
