"වයඹ පලොත
tlNky; khfhzk;
North Western",4,"කුරු ෑගල
FUdhfy;
Kurunegala",Alauwa,Heavy rain,2023.12.07/10,3,10,,,,,3,,,,,,
,,,Bamunakotuwa,High Wind,2023.12.08,1,4,,,,,1,,,,,,
,,,Polgahwela,Lightning,2023.12.07,4,17,,,,,4,1,,,,,
,,,Ganewatta,Tree Fallen,2023.12.07,1,6,,,,,1,,,,,,
,,,,Heavy rain,2023.12.09,1,3,,,,,1,,,,,,
,,,Nikaweratiya,Lightning,2023.12.09,2,9,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,12,49,0,0,0,0,12,1,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,12,49,0,0,0,0,12,1,0,0,0,0,
"ස්ත්‍බරගමුව පලොත
rg;ufKt
Sabaragamuwa",5,"කෑගල්ල
Nffhiy
Kegalle",Warakapola,Lightning,2023.12.07-08,6,24,,,,,6,,,,,,
,,,,High Wind,2023.12.08,3,9,,,,,3,,,,,,
,,,,Cutting Faliure,2023.12.08,1,4,,,,,1,,,,,,
,,,Ruwanwella,Lightning,2023.12.09,6,29,,,,,6,,,,,,
,,,Kegalla,Lightning,2023.12.10,4,15,,,,,4,,,,,,
,,,Bulathkohupitiya,LandSlide Risk,2023.12.07,40,103,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,60,184,0,0,0,0,21,0,0,0,0,0,
,,,Balangoda,Cutting Failure,2023.12.09-10,3,10,,,,,3,,,,,,
,,,Kahawatta,Heavy Rain,2023.12.08,6,20,,,,,6,,,,,,
,6,"රත් පුර
,uj;jpdGhp
Rathnapura",Godakawelaa,Heavy Rain,2023.1208,1,4,,,,,1,,,,,,
,,,Weligepola,Cutting Failure,2023.12.09,1,2,,,,,1,,,,,,
,,,Rathnapura,Heavy Rain,2023.12.10,4,15,,,,,4,,,,,,
,,,Nivitigala,Heavy Rain,2023.12.07,1,4,,,,,1,,,,,,
,,,Kuruvita,Cutting Failure,2023.12.10,13,55,,,,,5,,,,,,
,,,Eheliyagoda,Heavy Rain,2023.12.10,7,32,,,,,7,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,36,142,0,0,0,0,28,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,96,326,0,0,0,0,49,0,0,0,0,0,
"දකුනු පලොත
njd; khfhzk;
Southern",7,"ගොල්ල
fhyp
Galle",Bopepodda,Cutting Failure,2023.12.09,,,1,,,,,,,,,,
,,,Imaduwa,Cutting Failure,2023.12.11,1,4,,1,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,4,1,1,0,0,1,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1,4,1,1,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,265,946,1,3,0,7,87,1,0,11,176,589,
,,,ආ ප ද ො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"නවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
