"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Drought Situation Report- Sri Lanka
දිනය /jpfjp / Date : 16th June 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Location
s","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
ෙයඹ පලාත,1,"කුරුනෑගල/FUdhf
y;/ Kurunegala",Udubeddawa,Drought,2020.06.03,148,646,,,,,,,,,,,
,,,Kurunegala,High Wind,2020.06.05,5,15,,,,,5,,,,,,
,,,Kuliyapitiya east,,2020.05.09/6.02,2,4,,,,,2,,,,,,
,,,Polgahawela,,2020.06.07,3,9,,,,,3,,,,,,
,,,Nikaweratiya,Lightning,2020.06.07,1,4,,,,,1,,,,,,
,,,Mawathagame,Heavy Rain,2020.06.11,1,4,,,,,1,,,,,,
tlNky;khfhzk;,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,160,682,0,0,0,0,12,0,0,0,0,0,
North Western,2,"පුත්තලම/
Gj;jsk;/Puttalam",Karuwalagaswewa,High Wind,2020.06.15,1,4,,,,,1,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,1,4,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,161,686,0,0,0,0,13,0,0,0,0,0,
"නැවගනහිර පලාත
fpof;F Eastern",3,"මඩකලපුෙ
kl;lf;fsg;G
Batticaloa",Koralaipattu North,High Wind,2020.06.15,2,4,,,,,2,,,,,,
,,,,Drought,2020.03.26,1308,4553,,,,,,,,,,,
,,,Koralaipattu West,,,236,831,,,,,,,,,,,
,,,Koralaipattu Central,,2020.04.09,363,1264,,,,,,,,,,,
,,,Koralaipattu South,,2020.04.22,1751,5810,,,,,,,,,,,
,,,Eravur Pattu,,2020.03.26,2240,7190,,,,,,,,,,,
,,,Manmunai West,,,2694,8783,,,,,,,,,,,
,,,Manmunai South West,,2020.04.04,3343,10513,,,,,,,,,,,
,,,Poratheevupattu,,2020.03.26,6001,19971,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,17938,58919,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,17938,58919,0,0,0,0,2,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,18099,59605,0,0,0,0,15,0,0,0,0,0,
,,,"රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
