"වයඹ පලාත
tlNky;
khfhzk ; North
Western",8,"පුත්තලම Gj;jsk;
Puttalam",Nawagaththegama,High wind,2020.02.22,1,5,,,,,,1,,,,,
,,,Mahakumbukkadawala,Fire,,1,4,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2,9,0,0,0,1,0,1,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,2,9,0,0,0,1,0,1,0,0,0,0,
"දකුණු පලාත/njd;
khfhzk;/
Southern/ ;",9,ගාල්ල/fhyp/Galle,Baddegama,Drowning,2020.02.26,,,1,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,55231,231451,1,0,0,10,1,1,0,3,15,75,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079 ……………………………………………………….
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com A.M.R.K. Rathnayake
වවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk Assistant Director/Duty Officer",,,,,,,,,,,,,,,
,,,* This is an authorized report by DMC - EOC duty officer. No Signature is required,,,,,,,,,,,,For Director General,,,
