"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :22nd May 2022 at 1800 hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
,1,,,High Wind,2022.05.18,5,23,,,,,5,,,,,,
,,,Rathnapura,"Flood / Landslide Risk
/ High Wind / Heavy
Rain/ Lightning /
Cutting Failiture","2022.05.13/14/15/
16",1268,5188,,,,,12,,,,,,
,,,Elapatha,,,407,1516,,,,,14,,,,,,
,,,Kuruvita,,,79,305,,,,,13,1,,,,,
,,,Nivithigala,,,8,26,,,,,8,,,,,,
,,,Eheliyagoda,,,2,7,,,,,2,,,,,,
,,,Pelmadulla,,,117,493,,,,,105,12,,,,,
,,රත්නපුර,Kiriella,,,16,58,,,,,2,,,,,,
,,",uj;jpdGhp",Kolonna,,,2,8,,1,,,2,1,,,,,
,,Rathnapura,Ayagama,,,38,163,,,,,4,,,,,,
,,,Kalawana,,,29,96,,,,1,28,3,,,,,
,,,Ibulpe,,,4,17,,,,,4,,,,,,
,,,Opanayaka,,,8,22,,,,,8,,,,,,
,,,Godakawela,,,5,20,,,,,5,,,,,,
,,,Balangoda,,,3,12,,,,,3,,,,,,
,,,Kahawaththa,,,9,29,,,,,9,,,,,,
,,,Weligapola,,,1,2,,,,,2,1,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,2001,7985,0,1,0,1,226,18,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,2001,7985,0,1,0,1,226,18,0,0,0,0,
,2,,Beruwala,"High Wind /Heavy
Rain/ Lightning","2022.05.13/14/15/
16/17/18",7,28,,,,,7,,,,,,
,,,Bulathsinhala,,,30,101,,1,,,7,,,,,,
,,,Palindanuwara,,,20,78,,,,,19,,,,,,
,,,Dodangoda,,,16,57,,,,,11,,,,,,
,,,Mathugama,,,6,22,,,,,6,,,,,,
,,,Ingiriya,,,39,148,,,,,8,,,,,,
,,කළුතර,Kalutara,,,18,72,,,,,9,,,,,,
,,"fSj;Jiw
Kalutara",Bandaragama,,,2,10,,,,,2,,,,,,
,,,Agalawatta,,,10,39,,,,,10,,,,,,
,,,Walallavita,,,9,40,,,,,9,,,,,,
,,,Horana,,,2,4,,,,,2,,,,,,
,,,Madurawala,,,30,94,,,,,4,,,,,,
,,,Millaniya,,,26,80,,,,,9,,,,,,
,,,Panadura,,,8,27,,,,,8,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,223,800,0,1,0,0,111,0,0,0,0,0,
,3,"ගම්පහ fk;g`h
Gampaha",Gampaha,Heavy Rain,"2022.05.13/14/15/
16/17",2,9,,,,,2,,,,,,
,,,Mahara,Heavy Rain & Wind,,1,4,,,,,1,1,,,,,
,,,Dompe,Tree Fallan,,6,29,,,,,6,1,,,,,
,,,Minuwangoda,High Wind,,1,4,,,,,1,,,,,,
,,,Atthangalla,Heavy Rain & Wind,,4,21,,,,,4,1,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,14,67,0,0,0,0,14,3,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,237,867,0,1,0,0,125,3,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,2238,8852,0,2,0,1,351,21,0,0,0,0,
,,,"ආ ප ද ා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,ෆැක්ස්/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,,,
