,,,,,,,,Safety center Details,,
,,,,,,Fully House,Partially House,,,
No.,Districts,Families,Persons,Deaths,Missing,,,No of Safety,,
,,,,,,damage,Damage,,Families,Persons
,,,,,,,,,,
,,,,,,,,centers,,
,,,,,,,,,,
1,Puttalam,"98,146","349,429",37,2,415,"4,809",17,121,388
2,Badulla,"17,436","58,699",90,11,404,"7,291",144,"5,414","16,750"
3,Monaragala,"1,521","5,262",4,-,38,487,2,51,142
4,Matale,"7,211","25,744",28,9,195,"2,864",42,"1,235","3,686"
5,Colombo,"85,803","328,847",9,-,75,"3,647",21,384,"1,391"
6,Batticaloa,"12,469","37,389",2,-,11,946,-,-,-
7,Kegalle,"20,579","73,002",32,39,300,"11,601",120,"3,496","11,082"
8,Trincomalee,"25,999","86,376",-,-,-,727,1,22,64
9,Anuradhapura,"21,948","72,359",13,-,227,"2,249",3,43,142
10,Mullaitivu,"22,918","67,340",-,-,5,907,40,"1,191","3,591"
11,Kilinochchi,"8,878","28,093",-,-,2,374,-,-,-
12,Ampara,"6,942","23,781",8,-,111,509,-,-,-
13,Jaffna,"16,918","53,828",3,-,2,370,5,96,287
14,Polonnaruwa,"11,545","41,086",2,-,225,"3,526",6,522,"1,996"
15,Kandy,"51,098","161,140",234,81,"1,815","13,422",11,402,"1,154"
16,Rathnapura,"18,467","71,937",1,-,6,"7,869",10,106,389
17,Kurunegala,"25,055","85,891",61,11,476,"3,600",39,"1,177","4,063"
18,Nuwara Eliya,"19,780","63,121",89,37,767,"3,742",211,"6,652","20,825"
19,Matara,448,"1,671",-,-,1,437,-,-,-
20,Hambantota,"3,353","11,733",1,-,4,188,-,-,-
21,Galle,518,"1,795",1,-,-,492,-,-,-
22,Kalutara,"2,013","7,093",-,-,1,953,-,-,-
23,Mannar,"23,641","77,451",2,1,28,188,7,948,"2,822"
24,Gampaha,"3,117","12,251",16,1,216,"5,830",6,223,706
25,Vavuniya,"6,320","20,785",2,-,1,"4,135",5,135,383
Total,,"512,123","1,766,103",635,192,"5,325","81,163",690,"22,218","69,861"
,,,,,,,,,,
