Weather Forecast for Main Cities Date : 15-Jan-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,22,95,70,Mainly fair
Batticaloa,30,23,95,75,Mainly fair
Colombo,31,23,95,65,Mainly fair
Galle,29,24,95,80,Showers or thundershowers are likely after 4.00p.m
Jaffna,29,22,95,75,Mainly fair
Kandy,30,19,95,65,Mainly fair
Nuwara-Eliya,19,9,95,70,Mainly fair
Ratnapura,34,22,95,60,Showers or thundershowers are likely after 2.00p.m
Trincomalee,30,24,95,75,Mainly fair
Mannar,30,25,90,80,Mainly fair
