"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Colombo,"Seethawaka
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Galle,"Elpitiya,
Neluwa and
Nagoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kalutara,"Bulathsinhala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Palindanuwara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kegalle,"Dehiowita,
Kegalle and
Yatiyanthota
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Ratnapura,"Ayagama,
Ratnapura,
Kiriella,
Kuruwita and
Elapatha
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Eheliyagoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas,,,
and given weather forecast by meteorological department of Sri Lanka,,,
