,,,,,,,,Safety center Details,,
,,,,,,Fully House,Partially House,,,
No.,Districts,Families,Persons,Deaths,Missing,,,No of Safety,,
,,,,,,damage,Damage,,Families,Persons
,,,,,,,,,,
,,,,,,,,centers,,
,,,,,,,,,,
1,Puttalam,"98,146","349,429",37,2,415,"4,809",17,121,388
2,Badulla,"17,436","58,699",90,11,404,"7,291",144,"5,414","16,750"
3,Monaragala,"1,521","5,262",4,-,38,490,2,59,161
4,Matale,"7,288","25,813",28,9,202,"2,864",41,"1,223","3,654"
5,Colombo,"85,669","328,577",9,-,74,"3,828",12,232,729
6,Batticaloa,"12,469","37,389",4,-,11,946,-,-,-
7,Kegalle,"20,749","73,558",32,39,301,"11,625",118,"3,435","10,698"
8,Trincomalee,"26,009","86,685",-,-,-,727,-,-,-
9,Anuradhapura,"21,958","72,387",13,-,227,"2,257",3,43,142
10,Mullaitivu,"12,469","37,389",2,-,11,946,-,-,-
11,Kilinochchi,"8,878","28,093",-,-,2,374,-,-,-
12,Ampara,"6,942","23,781",8,-,111,509,-,-,-
13,Jaffna,"16,918","53,828",3,-,2,370,5,87,262
14,Polonnaruwa,"11,570","41,128",2,-,225,"3,588",5,282,"1,372"
15,Kandy,"51,098","161,140",234,81,"1,815","13,422",11,402,"1,154"
16,Rathnapura,"18,593","72,381",1,-,6,"7,958",7,212,358
17,Kurunegala,"25,055","85,891",61,11,476,"3,600",39,"1,177","4,063"
18,Nuwara Eliya,"19,780","63,121",89,37,767,"3,742",211,"6,652","20,825"
19,Matara,448,"1,671",-,-,1,437,-,-,-
20,Hambantota,"3,353","11,733",1,-,4,188,-,-,-
21,Galle,518,"1,795",1,-,-,492,-,-,-
22,Kalutara,"2,013","7,093",-,-,1,953,-,-,-
23,Mannar,"23,641","77,451",3,-,28,256,6,732,"2,134"
24,Gampaha,"3,117","12,251",16,1,216,"5,830",6,223,706
25,Vavuniya,"6,320","20,785",-,-,17,"4,119",3,79,232
Total,,"501,958","1,737,330",638,191,"5,354","81,621",630,"20,373","63,628"
,,,,,,,,,,
