"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Kandy,"Ududumbara,
Udunuwara,
Pathadumbara,
* Pathahewaheta and
* Ganga Ihala Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"* Galigamuwa and
* Rambukkana
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","* Mawanella
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kurunegala,,"↑ Rideegama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Matale,"Matale and
Yatawatta
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑ Pallepola,
↑ Ukuwela,
↑ Laggala Pallegama,
↑ Rattota and
↑ Naula
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Nuwara Eliya,"Kotmale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas,,,
and given weather forecast by meteorological department of Sri Lanka,,,
