Weather Forecast for Main Cities Date : 23-Feb-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,33,23,90,70,Several spells of showers
Batticaloa,31,24,85,75,Several spells of showers
Colombo,31,24,90,75,Showers or thundershowers are likely after 2.00p.m
Galle,30,24,95,75,Showers or thundershowers are likely after 2.00p.m
Jaffna,31,24,95,80,A few showers
Kandy,29,21,95,65,Showers or thundershowers are likely after 2.00p.m
Nuwara-Eliya,21,12,95,80,Showers or thundershowers after 2.00p.m
Ratnapura,33,23,95,75,Showers or thundershowers after 2.00p.m
Trincomalee,31,24,95,70,A few showers
Mannar,31,24,95,85,A few showers
