River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,1.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.64,1.64,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.86,9.75,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.19,1.19,Normal,,52.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.72,0.67,Normal,,7.7,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.58,0.54,Normal,,3.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.82,Normal,,2.9,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.75,0.80,Normal,,0.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.94,4.89,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.28,1.26,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.52,1.50,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.10,3.15,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.19,1.18,Normal,,18.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.43,1.39,Normal,,2.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.40,0.43,Normal,,32.,,0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.39,2.37,Normal,,13.4,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.50,0.48,Normal,,2.4,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.07,0.06,Normal,,3.1,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.00,1.00,Normal,,1.5,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.40,2.35,Normal,,0.9,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.75,1.72,Normal,,2,3.4,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.44,2.18,Normal,,2.3,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.57,1.55,Normal,,15.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.40,1.36,Normal,,0.2,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,2.1,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.33,0.32,Normal,,2,3.7,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.09,1.03,Normal,,29.,,0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.28,-2.36,Normal,,53.7,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.57,1.54,Normal,,13.4,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.96,0.95,Normal,,4.2,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.87,0.79,Normal,,3.8,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.48,1.49,Normal,,5.6,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.64,0.63,Normal,,4.1,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.05,3.03,Normal,,48.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.85,0.82,Normal,,11.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.83,2.60,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.47,2.45,Normal,,0.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.29,1.28,Normal,,7.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.47,1.44,Normal,,2.2,,,
