,,,Dehiovita,Tree Fallen,2020.07.20,11,35,Page 2,,,,4,,,,,,
,,,Warakapola,Cutting Failure,2020.07.20,1,6,,,,,,,,,,,
,,,,Tree Fallen,2020.07.20,3,12,,,,,2,,,,,,
,,,Mawanella,Rock Fallen,2020.07.19,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,64,255,0,0,0,0,48,1,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,64,255,0,0,0,0,48,1,0,0,0,0,
"උතුරු පලාත tl
khfhzk; Northen",7,"වව්නනියාව tTdpah
Vavuniya",Vavuniya South,High Wind,2020.07.20,4,10,,,,,4,5,,,,,
,,,Vavuniya North,,,9,29,1,3,,,6,1,,,,,Child death due to tree fallen
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,13,39,1,3,0,0,10,6,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,13,39,1,3,0,0,10,6,0,0,0,0,
"දකුනු පලාත
njd; khfhzk
Southern",8,"ගාල්ල
fhyp
Galle",Kadawathsathara,High Wind,2020.07.20,2694,9178,,,,,51,,,,,,
,,,Elpitiya,,,3,12,,,,,3,,,,,,
,,,Baddegama,,,4,13,,,,,4,,,,,,
,,,Niyagama,,,2,8,,,,,2,,,,,,
,,,Imaduwa,,,55,211,,,,1,27,,,,,,
,,,Balapitiya,,,1,3,,,,,1,,,,,,
,,,Nagoda,,,2,7,,,,,2,,,,,,
,,,Habaraduwa,,,7,23,,,,,7,,,,,,
,,,Karandeniya,,,3,8,,,,,3,,,,,,
,,,Akmeemana,,,610,2200,,1,,,30,3,,,,,
,,,Ambalangoda,,,5,19,,,,,5,,,,,,
,,,Yakkalamulla,,,8,31,,,,1,7,,,,,,
,,,Bope Poddala,,,6,27,,,,,,,,,,,
,,,Velivitiya Divithura,,,1,5,,,,,1,,,,,,
,,,Thawalama,,,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3402,11748,0,1,0,2,144,3,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,3402,11748,0,1,0,2,144,3,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,3984,14260,4,5,0,2,226,12,0,0,0,0,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
කවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
