River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,1.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.55,2.46,Normal,,16.1,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.41,10.25,Normal,,2.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.79,1.80,Normal,,3,7.1,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.47,0.46,Normal,,0.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.88,Normal,,28.4,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.73,0.72,Normal,,7.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.18,1.20,Normal,,4.5,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.59,6.57,Normal,,83.7,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.40,2.30,Normal,,8.7,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.53,2.30,Normal,,4.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,3.98,3.95,Normal,,77.9,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.28,2.26,Normal,,5.5,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.65,1.64,Normal,,94.1,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.88,0.95,Normal,,2.9,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.39,4.28,Normal,,13.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.46,1.39,Normal,,10.3,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.80,0.77,Normal,,52.,,1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.32,1.26,Normal,,46.,,4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.39,1.37,Normal,,60.,,3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.89,0.88,Normal,,48.,,3,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.63,1.60,Normal,,57.,,8,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.48,1.24,Normal,,21.1,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.72,0.72,Normal,,9.6,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.49,Normal,,1.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.14,0.14,Normal,,3.7,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.10,-0.10,Normal,,0.6,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.86,-2.69,Normal,,8.8,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.26,2.40,Normal,,8.4,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.07,1.07,Normal,,5.5,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.26,0.25,Normal,,6.4,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.87,1.87,Normal,,26.1,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.66,0.98,Normal,,20.2,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.54,1.58,Normal,,6.5,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.67,0.65,Normal,,7.1,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.77,0.77,Normal,,23.9,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.19,2.18,Normal,,8.6,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.09,1.09,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.04,1.04,Normal,,0.0,,,
