Weather Forecast for Main Cities Date : 9-Jan-2026,,,,,
City,Temperature (0C),,"Relative Humidity
(%)",,Weather
,Max,Min,Max,Min,
"Anuradhapur
a",28,22,95,70,Showers or thundershowers at times
Batticaloa,28,23,90,70,Showers or thundershowers at times
Colombo,30,23,80,55,Showers or thundershowers are likely after 2.00p.m
Galle,31,24,95,80,Showers or thundershowers are likely after 2.00p.m
Jaffna,27,24,80,65,Showers or thundershowers at times
Kandy,26,20,90,75,Showers or thundershowers at times
Nuwara-Eliya,19,12,95,35,Showers or thundershowers at times
Ratnapura,32,22,95,60,Showers or thundershowers are likely after 2.00p.m
Trincomalee,28,24,80,70,Showers or thundershowers at times
Mannar,28,24,85,70,Showers or thundershowers at times
