River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,1.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.42,2.40,Normal,,,9.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.15,10.16,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.87,1.88,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.89,0.89,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.75,0.72,Normal,,4.2,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.91,0.90,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.19,0.99,Normal,,15,,.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.76,5.72,Normal,,1.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.81,1.77,Normal,,31.4,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.39,2.34,Normal,,0.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,3.16,3.10,Normal,,5.5,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.97,1.94,Normal,,30.9,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.66,1.65,Normal,,2.8,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.90,0.83,Normal,,18.,,,6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.11,3.09,Normal,,0.6,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.88,0.88,Normal,,0.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.58,0.57,Normal,,4.1,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.10,1.10,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.35,1.35,Normal,,1.5,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.05,1.04,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.55,1.54,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.35,0.34,Normal,,0.6,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.27,1.26,Normal,,0.7,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.92,0.90,Normal,,1.4,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.81,0.81,Normal,,1.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.58,-1.41,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.28,1.28,Normal,,0.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.72,0.72,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.83,1.82,Normal,,0.6,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.84,0.84,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,6.13,6.08,Alert,Falling,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.59,1.56,Normal,,0.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.77,2.77,Normal,,0.8,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.64,1.63,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.90,1.90,Normal,,0.0,,,
