"දදනික තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / தினசரி epiyik mwpf;if - ,yq;if/ Daily Situation Report- Sri Lanka
දිනය /jpfjp / Date : 27th May 2020 at 1800hrs",,,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්ූවන් පිළිබඳ විස්ත්‍රතර / Details of those affected /பாதிக்கப்பட்டவர்களின்
விவரங்கள்",,,,,,,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්ූ
පුද්ගලයි
න්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses Damaged",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,,,,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ඥාති ස්ත්‍හලවනත් නිවාස්ත්‍
වල සිටින / In
relatives' homes",,"බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,,,,,,,
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","සුළු හානි/
Minor
damage",
,1,"රත්නපුර ,uj;jpdGhp
Rathnapura",Palmadulla,"Flood and
Landslide",2020.05.27,2,7,31,,,,,,,,,,,
,,,Ayagama,,,,,,1,4,,,,,,,,,
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",,,Rathnapura,,,1,3,11,,,,,,,,,,,
,,,Kahawatta,,,,,,3,12,,,,,,,,,
,,,Elapatha,,,,,,2,5,,,,,,,,,
,,,Balangoda,,,2,17,73,,,,,,,,,,,
,,,Kolonna,,,,,,1,4,,,,,,,,,
,,,Kuruvita,,,,,,10,36,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,5,27,115,17,61,0,0,0,0,0,0,0,0,
