"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 20th May 2025 at 0900hrs",,,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks",
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,8,28,1,0,0,0,6,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,16,55,1,0,0,0,14,0,0,0,0,0,,
"වයඹ පලාත
tlNky; khfhzk;
North Western",3,පුත්තලම,Marawila,Drowning,2025.05.13,,,3,,1,,,,,,,,,
,,"Gj;jsk;
Puttalam",Chillaw,,2025.05.13,,,1,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,0,0,4,0,1,0,0,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,0,0,4,0,1,0,0,0,0,0,0,0,,
"උතුරු පලාත
tl khfhzk;
Northen",,,Delft,High Wind,2025.05.17,1,4,,,,,,1,1,,,,,
,,යාපනය,Karaveddi,High Wind,2025.05.19,1,3,,,,,1,,,,,,,
,4,"aho;g;ghzk;
Jaffna",,High Wind,,2,7,,,,,2,,,,,,,
,,,Chavakachcheri,Lightning,2025.05.18,1,3,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,5,17,0,0,0,0,4,1,1,0,0,0,,
,,කිලි්නාච්චිය,,High Wind,2025.05.17,3,12,,,,,3,,,,,,,
,5,"fpspnehr;rp
Killinochchi",Kandawalai,Lightning,2025.05.08,1,2,,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,14,0,0,0,0,3,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,9,31,0,0,0,0,7,1,1,0,0,0,,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",,"කෑගල්ල
Nffhiy
Kegalle",Bulathkohupitiya,High Wind/ Rain,2025.05.17,15,65,,,,,15,,3,,,,,
,,,,Tree Fallen,2025.05.17,2,9,,,,,2,,,,,,,
,,,Dehiovita,Collapase of wall,2025.05.18,1,4,,,,,1,,,,,,,
,,,,Tree Fallen,2025.05.17,3,11,,,,,3,,1,,,,,
,,,Kegalle,Rock fallen,2025.05.17,1,2,,,,,1,,,,,,,
,6,,Deraniyagala,High Wind,2025.05.17,4,17,,,,,4,,,,,,,
,,,,Lightning,2025.05.17,1,4,,,,,1,,,,,,,
,,,Warakapola,Tree Fallen,2025.05.17-18,4,17,,,,,4,,,,,,,
,,,Mawanella,Tree Fallen,2025.05.17,1,5,,,,,1,,,,,,,
,,,,Tree Fallen,2025.05.17-18,3,12,,,,,3,,,,,,,
,,,Galigamuwa,Lightning,2025.05.17,1,2,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,36,148,0,0,0,0,36,0,4,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,36,148,0,0,0,0,36,0,4,0,0,0,,
