"දෛනික තත්තත්තව වාර්තාව - ශ්‍රී ලංකාව / தினசரி epiyik mwpf;if - ,yq;if/ Daily Situation Report- Sri Lanka
දිනය /jpfjp / Date : 10th June 2020 at 1800hrs",,,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපෛාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්ූවන් පිළිබඳ විස්ත්‍රතර / Details of those affected
/பாதிக்கப்படட் வரக் ளின் விவரங்கள்",,,,,,,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුෛහ
න්ූ
පුද්ගලයි
න්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses Damaged",,,"ලවනත්ත කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,,,,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ඥාති ස්ත්‍හලවනත්ත නිවාස්ත්‍
වල සිටින / In
relatives' homes",,"බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,,,,,,,
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","සුළු හානි/
Minor
damage",
,1,"රත්නපුර ,uj;jpdGhp
Rathnapura",Palmadulla,"Flood and
Landslide",2020.05.27,2,7,31,,,,,,,,,,,
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",,,Rathnapura,,,1,3,11,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,3,10,42,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,3,10,42,0,0,0,0,0,0,0,0,0,0,
"ඌෙ Cth
khfhzk; Uva",2,"බදුල්ල
gJs;is
Badulla",Welimada,High Wind,2020.06.10,,,,,,1,4,,,,,1,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,1,4,0,0,0,0,1,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,1,4,0,0,0,0,1,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,3,10,42,0,0,1,4,0,0,0,0,1,0,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :",,,,,,,,,,,,,,,,
,,,"ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Managem
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136
ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,
,,,………………………………………………,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Chathura Liyanarachchi,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
