Weather Forecast for Main Cities Date : 1-Jun-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,27,90,60,Mainly fair
Batticaloa,33,27,80,60,Showers or thundershowers are likely after 2.00p.m
Colombo,32,27,80,75,Showers at times
Galle,30,26,90,80,Showers or thundershowers at times
Jaffna,32,28,75,70,Mainly fair
Kandy,31,22,90,60,Showers at times
Nuwara-Eliya,22,14,95,75,Several spells of showers
Ratnapura,32,24,95,65,Showers or thundershowers at times
Trincomalee,35,27,85,50,Mainly fair
Mannar,32,28,90,85,Mainly fair
