Weather Forecast for Main Cities Date : 3-Feb-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,30,22,95,80,Several spells of light showers
Batticaloa,29,23,95,80,Several spells of showers
Colombo,31,24,90,70,Showers or thundershowers are likely after 2.00p.m
Galle,30,25,95,75,Showers or thundershowers are likely after 2.00p.m
Jaffna,29,23,95,80,A few showers
Kandy,30,21,95,60,Showers or thundershowers are likely after 2.00p.m
Nuwara-Eliya,21,13,95,70,Showers or thundershowers are likely after 2.00p.m
Ratnapura,34,22,95,60,Showers or thundershowers after 2.00p.m
Trincomalee,29,24,95,80,Several spells of showers
Mannar,29,24,95,85,A few showers
