River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.50,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.05,2.99,Normal,,0.9,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.62,10.60,Normal,,5.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.66,1.58,Normal,,8.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.75,0.75,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.95,0.90,Normal,,0.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.77,0.77,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.31,1.28,Normal,,,4.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.23,6.19,Normal,,6.4,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.99,1.96,Normal,,1.1,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.20,2.18,Normal,,,3.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.05,4.02,Normal,,,3.4,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.14,2.12,Normal,,5.6,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.08,2.06,Normal,,7.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.35,1.35,Normal,,,2.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.22,4.20,Normal,,5.7,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.17,1.21,Normal,,,2.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.75,0.75,Normal,,7.4,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.04,1.04,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.30,0.30,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.58,0.58,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.31,1.30,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.21,-0.21,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.69,0.69,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.36,0.36,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.31,0.31,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.01,0.00,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.05,-3.07,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.90,2.10,Normal,,0.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.25,1.24,Normal,,,2.4,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.23,0.23,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.05,1.05,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.32,0.32,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.38,1.38,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.74,2.73,Normal,,0.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.43,1.42,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.22,2.20,Normal,,0.0,,,
