අනු.අ.,දිස්ික්කය,"ප්‍රා.වේ.වකා./
ස්ථානය",සිදුවීම
01,මකොළඹ,සීතොවක,"1. 431/ඊ, කිරිවනදල දකුණ ග්‍රො. ි වසමම් කොගල්ස ් ෆුඩ්සිටිය අසළ
ඉදිරිපිට වතු ස ොග කට අයත් රබර් වත්තක JCB යනරයක් මයොදො
ගිමින රබර් ගස් ගැලවීමම්දී අවිස්සොමව්නල්ල - මකොළඹ දුම්රිය
ොර්ගයට පස් හො ගල් මපරළී ඇති අතර 2000 පැය වන විට ොර්ග
අවිරතො ඉවත් කර යථො තත්ත්වයට පත් කරන ලදි."
02,ොතමල්,දඹුල්ල,"2. ගල්වැටියොව නම් ග ට ග න කරනු ලබන කලින අබලන
තත්තවමේ පැවති පොල ක් සම්පූර්ණමයන කඩොමගන මගොස් ඇත. එ
ග මවත ග න කිරී සඳහො විකල්ප ොර්ග බවතින බවද දැනුවත්
කරන ලදි."
,,ගමල්මවල,"3. පැවති වර්ෂොව මහ්තුමවන දඹවටන ග්‍රො ිලධොරී වසම ි ිවොස
40 ක් ප ණ ජලමයන යටවි ඇති බව වොර්තො විය."
03,වව්නියොව,වව්නියොව,"1. පවතින අධික වර්ෂොව මහතු් මවන වව්නියොව මනදුනකර්ි මරෝහල
ජලගැලී ට ලක්ව ඇති අතර මරෝගීන ඇතුලත් කර ගැනී නවතො ඇති
බවත් මපොලීසිය හො යුධ හමුදොව දැනුවත් කර ඇති දැනුවත් කරන ලදි."
,,"වව්නියොව
දකුණ","2.කලුකුනනම් ඩුව ග්‍රො ිලධොරී වසම ි උපුල් සො කු ොර යන
අයමේ ිවමස් සො ොජිකයින 06 මදමනකු ජලයට හසුවි මකොටුවී ඇති
බව වොර්තො විය."
04,කුරුණෑගල,ගල්ගමුව,"1. අඹනමපොල හො ගල්ගමුව අතර 151 කණුව ආසනනමේ දුම්රිය
ොර්ගයට ගසක් වැටී තිබූ අතර එ ගස අඹනමපොල මපොලිසිමේ
ිළධොරින විසින ඉවත් කරන ලදි."
05,බදුල්ල,බදුල්ල,"1. ඉදල්ිගස්ිනන දුම්රිය සථ් ොනයට හො මත් කර් ොනතශොලොවට යන
ොර්ගයට ( ප්‍රධොන ොර්ගයක් මනොමව්න ) පස් කණ්ඩියක් කඩො වැටී
මහ්තුමවන එ ොර්ගය අවිර වී තිබූ අතර ොර්ග අවිරතො ඉවත් කර
යථො තත්ත්වයට පත් කරන ලදි."
,,වැලි ඩ,"2. වැලි ඩ ග්‍රො ිලධොරී වසම ි අමේමවල ිලනිය යන ස්ථොනමේ
නොයයෑම් තත්ත්වයක් මහ්තුමවන ලයි ක ිවොස 03 ක් පස්වලින
යටවී ඇති අතර එි සිටි පිරිස ගම්වැසියන විසින
ිරුපද්‍රිතව මබ්රොමගන ඇති අතර ඉන එක් අමයක් මසොයොගැනී ට
මනොහැකි බව දැනුම් දී ඇත. එ පුේගලයො කැප්මපටිමපොල මපොලිසිය
හො ගම්වොසින විසින මසොයොමගන නුවරඑළිය මරෝහල මවත මයොමු කර
ඇත."
,,බදුල්ල,"3. බදුල්ල - ියංගනය ොර්ගය දුනිඳ ඇල්ල අසලින පස් කඳු කඩො
වැටි අවිර වි ඇත."
,,පස්සර,"4. ඩගනතලොව උතුර ග්‍රො ිලධොරී වසම ි එක් ිවසක්
නොයමගොස් ඇති අතර පුේගලයින මදමදමනකු අතඅරඅදන වි ඇති බව
වොර්තො විය."
