River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,1.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.14,3.15,Normal,,29.9,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.11,10.97,Normal,,16.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.58,1.57,Normal,,9.3,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.67,1.59,Normal,,44.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.73,0.75,Normal,,7.8,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.32,1.25,Normal,,49.9,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.20,2.16,Normal,,13.7,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.48,6.49,Normal,,5.4,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.12,3.04,Normal,,12.9,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.40,3.29,Normal,,15.8,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.43,6.38,Alert,Falling,28.6,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.22,4.20,Minor Flood,Falling,1.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.14,2.13,Normal,,2.3,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.64,1.62,Alert,Falling,58.,1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.60,4.59,Normal,,8.4,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.82,0.90,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.08,1.06,Normal,,2.4,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.22,1.21,Normal,,11.6,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.24,2.20,Normal,,32.8,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.42,1.40,Normal,,86.8,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.23,2.16,Normal,,13.7,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.23,0.22,Normal,,17.7,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.30,1.27,Normal,,17.3,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.25,1.19,Normal,,67.1,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.82,0.95,Normal,,28.4,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.31,1.30,Normal,,24.4,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.41,-1.47,Normal,,9.6,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.05,3.18,Normal,,41.6,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.49,1.47,Normal,,33.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.87,0.85,Normal,,38.1,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,4.56,4.67,Normal,,43.4,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.97,2.00,Normal,,49.5,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.87,1.92,Normal,,30.8,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.43,1.39,Normal,,13.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.00,5.99,Alert,Falling,9.9,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.97,5.89,Alert,Falling,13.8,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.68,4.44,Normal,,99.2,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.54,4.52,Minor Flood,Falling,48.7,,,
