"Western
Nky; khfhzk;
බස්ත්‍රනාහිර පලාත",15,"ගම්පහ
fk;g`h
Gampaha",Dompe,"Flood / Wind / Heavy
Rain",2024.11.26 / 27,17,47,,,,,,,,,,,
,,,Negambo,,,383,1611,,3,,,3,,,,,,
,,,Minuwangoda,,,4,12,,,,,4,,,,,,
,,,Kelaniya,,,2,9,,,,,2,,,,,,
,,,Biyagama,,,1,4,,,,,1,,,,,,
,,,Katana,,,627,2836,,,,,,,,,,,
,,,Wattala,,,153,618,,,,,,,,1,1,5,
,,,Mahara,,,34,140,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1221,5277,0,3,0,0,10,0,0,1,1,5,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1221,5277,0,3,0,0,10,0,0,1,1,5,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",16,"කෑගේල
Nffhiy Kegalle",Dehiovita,Tree Fallen,2024.12.05,2,8,,,,,2,,,,,,
,,,Deraniyagala,High Wind,2024.12.05,1,6,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3,14,0,0,0,0,3,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,3,14,0,0,0,0,3,0,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;
Southern",,"ගාේල fhyp
Galle",Bobe Poddala,Tree Fallen,2024.12.07,2,6,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,6,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2,6,0,0,0,0,2,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,125189,420053,18,13,0,97,1791,65,16,17,432,1463,
,,,ආ ප ද ා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැේ / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"ලවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
….....................................",,,,,,,,,,,,,,,,,,
