River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,1.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.85,2.78,Normal,,7.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.43,10.40,Normal,,,17.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.59,Normal,,2.2,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.86,0.87,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.75,0.73,Normal,,62.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.87,Normal,,2.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.13,1.15,Normal,,2.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.26,6.30,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.65,2.56,Normal,,7.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.44,2.41,Normal,,1.3,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,3.43,3.46,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.08,2.10,Normal,,4.7,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.98,1.87,Normal,,,12.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.85,0.82,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.76,3.75,Normal,,28,,.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.16,1.13,Normal,,32,,.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.73,0.71,Normal,,,12.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.02,1.02,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.25,1.25,Normal,,0.4,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.02,1.02,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.52,1.52,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.32,0.32,Normal,,3.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.25,1.25,Normal,,2.1,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.84,0.84,Normal,,0.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.82,0.81,Normal,,3.8,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-0.62,-0.44,Normal,,2.5,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.00,3.00,,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.28,1.28,Normal,,1.9,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.70,0.70,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.68,1.68,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.80,0.80,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.65,4.56,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.49,1.47,Normal,,6.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.67,2.66,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.54,1.53,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.30,2.26,Normal,,52.9,,,
