"තත්තත්තව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය
/jpfjp / Date : 22nd May 2020 at 1800hrs",,,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්ූවන් පිළිබඳ විස්ත්‍රතර / Details of those affected
/பாதிக்கப்படட் வரக் ளின் விவரங்கள்",,,,,,,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්ූ
පුද්ගලයි
න්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses Damaged",,,"ලවනත්ත කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,,,,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ඥාති ස්ත්‍හලවනත්ත නිවාස්ත්‍
වල සිටින / In
relatives' homes",,"බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,,,,,,,
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","සුළු හානි/
Minor
damage",
,1,"කෑගල්ල
Nffhiy Kegalle",Dehiowita,High wind,2020.05.22,,,,,,1,6,,,,,,1,
,,,Mawanella,Tree Fallan,,,,,,,1,5,,,,,1,,
,,,Kegalle,Cutting Failure,,,,,,,1,4,,,,,1,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,3,15,0,0,0,0,2,1,
"සබරගමුව පලොත
rg;ufKt
Sabaragamuwa",2,"රත් පුර
,uj;jpdGhp
Rathnapura",Ayagama,"Flood/ High wind/
Cutting Failure",2020.05.22,1,3,7,,,,,,,,,,,
,,,Rathnapura,,,1,3,11,,,,,,,,,,,
,,,Balangoda,,,2,17,73,,,,,,,,,,,
,,,Pelmadulla,,,2,6,26,,,,,,,,,,,
,,,,,,6,29,117,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,6,29,117,0,0,3,15,0,0,0,0,2,1,
"උතුරු පලොත tl
khfhzk Northen",3,"යොප ය
aho;g;ghzk; Jaffna",Point Pedro,High wind,2020.05.22,,,,,,1,5,,,,,1,,
,,,Karainagar,,,,,,,,2,4,,,,,2,,
,,,Uduvil,,,,,,,,2,4,,,,1,1,,
,,,Marurhankerny,,,,,,,,11,34,,,,,11,,
,,,Sandilippai,,,,,,,,9,36,,,,,9,,
,,,Nllur,,,,,,,,2,5,,,,,2,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,27,88,0,0,0,1,26,0,
,4,"කිලින ොච්චිය
fpspnehr;rp
Killinochchi",Pachchilaipalli,High wind,2020.05.22,,,,,,11,31,,,,,8,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,11,31,0,0,0,0,8,0,
,5,"මුලතිව්
Ky;iyj;jPT
Mulaitivu",Maritimepattu,High wind,2020.05.22,,,,,,4,6,,,,,4,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,4,6,0,0,0,0,4,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,42,125,0,0,0,1,38,0,
"මධ්‍යම පලොත
kj;jpa khfhzk;
Central",6,"නුවර
fz;b
Kandy",Pujapitiya,Heavy Rain,2020.05.22,,,,,,1,4,,,,,1,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,1,4,0,0,0,0,1,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,1,4,0,0,0,0,1,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,6,29,117,0,0,46,144,0,0,0,1,41,1,
,,,"රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :",,,,,,,,,,,,,,,,
,,,"ආපදො කළම ොකරණ මධ්‍යස්ථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Manage
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136
ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
නවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,
,,,………………………………………………,,,,,,,,,,,,,,,,
