River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,5.30,5.40,Minor Flood,Rising,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.86,8.02,Minor Flood,Rising,1,38.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,17.94,18.25,Minor Flood,Rising,180,,.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,5.65,5.30,Minor Flood,Falling,248.2,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,7.27,7.27,Major Flood,,168,,.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,7.46,7.25,Major Flood,Falling,263.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,3.15,2.88,Alert,Falling,186,,.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.06,2.11,Normal,,26.1,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.25,9.50,Normal,,174,,.9,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,7.78,8.11,Minor Flood,Rising,165,,.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.92,4.43,Alert,Rising,1,37.8,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.88,6.04,Alert,Rising,1,13.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.00,3.01,Normal,,11.8,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.84,3.20,Normal,,32.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.70,1.70,Minor Flood,,4.6,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.06,5.02,Alert,Falling,10.6,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.88,1.85,Normal,,23.9,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.40,1.44,Normal,,33.4,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,4.20,4.31,Alert,Rising,41.4,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,4.85,4.72,Alert,Falling,36.2,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,2.34,2.19,Normal,,53.2,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,4.80,4.67,Normal,,33.9,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,7.48,7.45,Major Flood,Falling,28.1,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,4.06,4.00,Normal,,,91.3,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,3.38,3.22,Normal,,38.6,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,N.A.,N.A.,,,-,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,N.A.,N.A.,,,-,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,N.A.,N.A.,,,-,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,14.67,14.80,Major Flood,Rising,240.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,6.08,5.70,Minor Flood,Falling,221.9,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,N.A.,N.A.,,,-,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,8.20,8.23,Minor Flood,Rising,258.6,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,N.A.,N.A.,,,-,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,9.45,9.49,Major Flood,Rising,324.1,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,N.A.,N.A.,,,-,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,8.28,8.33,Major Flood,Rising,,82.6,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,9.35,9.50,Minor Flood,Rising,1,30.8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,9.80,10.04,Major Flood,Rising,1,19.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.88,4.92,Minor Flood,Rising,1,37.7,,
