Weather Forecast for Main Cities Date : 15-Feb-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,29,22,95,70,Several spells of showers
Batticaloa,29,25,95,80,Several spells of showers
Colombo,34,24,85,50,Showers or thundershowers are likely after 2.00p.m
Galle,29,24,90,70,Showers or thundershowers after 2.00p.m
Jaffna,30,23,90,65,A few showers
Kandy,28,20,95,70,Showers or thundershowers are likely after 2.00p.m
Nuwara-Eliya,18,14,95,80,Showers or thundershowers after 2.00p.m
Ratnapura,30,23,95,70,Showers or thundershowers after 2.00p.m
Trincomalee,29,26,90,70,Several spells of light showers
Mannar,31,25,85,70,A few showers
