River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.46,1.58,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.19,10.19,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.37,1.30,Normal,,52.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.77,0.79,Normal,,7.7,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.76,0.67,Normal,,3.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.84,Normal,,2.9,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.79,0.70,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.00,4.98,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.35,1.32,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.56,1.54,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.42,3.26,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.22,1.21,Normal,,12.4,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.53,1.50,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.33,0.35,Normal,,9.8,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.44,2.42,Normal,,10.6,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,-,-,,,-,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.07,0.07,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.97,1.00,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,3.06,2.57,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,2.10,1.97,Normal,,2,3.4,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.60,2.56,Normal,,2.3,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.61,1.60,Normal,,14.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.71,1.54,Normal,,0.2,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,0.6,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.38,0.35,Normal,,2,3.7,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.20,1.15,Normal,,28,,.4,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-2.12,Normal,,53.7,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.63,1.60,Normal,,13.4,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.03,1.02,Normal,,4.2,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.10,0.96,Normal,,3.8,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.47,1.48,Normal,,5.6,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.65,0.64,Normal,,4.1,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,48.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,11.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.28,3.24,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.54,2.52,Normal,,0.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.32,1.31,Normal,,7.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.62,1.58,Normal,,2.2,,,
