උතුරු පලොත,7,"යොපනය
aho;g;ghzk;
Jaffna",Karaveddy,Drought,2020.07.06,232,632,Page 2,,,,,,,,,,Situation Report on 2019.11.05 at 180
tl khfhzk,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,232,632,0,0,0,0,0,0,0,0,0,0,
Northen,8,"මනනොරම
kd;dhH
Mannar",Nanattan,Drought,2020.07.07,262,768,,,,,,,,,,,
,,,Musali,,,3260,12810,,,,,,,,,,,
,,,Manthai West,,,5623,20500,,,,,,,,,,,
,,,Madhu,,,237,727,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,9382,34805,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,12030,43375,0,0,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,41194,138656,0,0,0,0,0,0,0,0,0,0,0
,,,"රොජකොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ො ක ළමනොකරණ මධයස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
්වබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
,,,T.W.K.I.Pushpakumara,,,,,,,,,,,,,,,
