,7,"කළුතර fSj;Jiw
Kalutara",Agalawatta,Cutting Faliure,2021.11.06/07,14,56,,,,,2,,,1,8,28,
,,,Horana,High Wind,,2,7,,,,,2,,,,,,
,,,Walallawita,High Wind,,3,11,,,,,3,,,,,,
,,,Kalutara,High Wind,,2,7,,,,,2,,,,,,
,,,Ingiriya,High Wind,,2,9,,,,,2,,,,,,
,,,Mathugama,High Wind,,1,4,,,,,1,,,,,,
,,,Panadura,High Wind,,1,3,,,,,1,,,,,,
,,,Beruwala,High Wind,,2,8,,,,,2,,,,,,
,,,Bandaragama,High Wind,,2,8,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,29,113,0,0,0,0,17,0,0,1,8,28,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,29,113,0,0,0,0,17,0,0,1,8,28,
,8,,Baddegama,Heavy Rain,2021.11.08,7,22,,,,,6,1,,,,,
,,,Ambalangoda,,,1,4,,,,,1,,,,,,
,,,Akmeemana,,,2,6,,2,,,2,,,,,,
,,,Kadawathsathara,,,327,1461,,,,,6,,,,,,
,,,Habaraduwa,,,10,36,,,,1,10,,,,,,
,,ගාේල fhyp Galle,Bope poddala,,,8,22,,,,1,8,,,,,,
,,,Waliwita divithura,,,2,5,,,,,2,,,,,,
,,,Gonupinuwala,,,7,21,,,,,5,,,,,,
,,,Niyagama,,,1,4,,,,,1,,,,,,
,,,Karandeniya,,,1,5,,,,,1,,,,,,
,,,Balapitiya,,,11,35,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,377,1621,0,2,0,2,42,1,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,377,1621,0,2,0,2,42,1,0,0,0,0,
,9,,Rajanganaya,Flood,2021.11.07,20,75,,,,,,,,,,,
,,"අනුරාධ්‍පුර m.Guk;
Anuradhapura",Nochchiyagama,,,33,145,,,,,,,,,,,
,,,Mahavilachchiya,,,93,323,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,146,543,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,146,543,0,0,0,0,0,0,0,0,0,0,
,10,,Mundalama,Flood,2021.11.08,24,66,,,,,,,,,,,
,,,Karuwalagaswewa,,,1,6,,,,,,,,,,,
,,"පුත්තලම Gj;jsk;
Puttalam",Wennappuwa,,,44,147,,,,,,,,,,,
,,,Wanathawilluwa,,,520,2114,,,,,,,,,,,
,,,Puttalama,,,230,920,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,819,3253,0,0,0,0,0,0,0,0,0,0,
,11,"කුරුනෑගල
FUdhfy
Kurunegala",Alawwa,Collapse of wall,2021.11.09,,,1,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,819,3253,1,0,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,1836,7167,2,2,0,2,89,3,0,7,58,222,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :
ආප්‍ර දී ප ප් ද ාල කකළාඩිමප්නිාලික මරණයා ම , ධ්‍jයpUස්ත්‍.රථgpාuනjයPg; /nmfdhbHgj;g;jpy K>P Mfrh.i Prkajde;Jetp Keodpiipypiali k ;/ D isaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍/ර njhiy efy; / Fax: 0112670079
විදුත් තැපැේ / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,
,,,"ලවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
