,6,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwara Eliya,Landslide,2019.12.04-05,5,21,,,,,1,,,1,2,11,Lipakele Childcare Center
,,,Walapane,Land Slide Risk,"2019.11.30/12.1
1",150,406,3,,1,,,,,10,107,272,"01. Munwatte Temple,
02. Naranthalawa
Wewakele temple,
03. Magrat School,
04. Ekangapura School,
05. Brooksight Childcare
centre
06.Liyanwala School, 07.
Watambe School, 08.
Harasbedda Temple"
,,,,Cutting Failure,2019.12.02,5,22,,,,,2,,,,,,
,,,,Rock fallen,2019.12.02,1,5,,,,,,,,,,,
,,,,Collapse of a wall,2019.12.02,1,5,,,,,1,,,,,,
,,,Hankuranketha,Landslide Risk,2019.11.30,2,10,,,,,,,,1,2,10,Kithulpe Temple
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,164,469,3,0,1,0,4,0,0,12,111,293,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,173,503,3,0,1,1,12,0,0,12,111,293,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,288,885,3,0,1,2,17,0,0,15,163,453,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළ ම න ා ක ර ණ ම ධ්‍ ය ස්ත්‍ රථ ා න ය / m d H j ;j K f h i k j ;J t e p i y a k ;/ D i s a s t e r M a n a g e m e n t C e n t r e
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136
ෆැක්ස්ත්‍/ර njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
ගවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
,,,K.A.D.P.K Kodippili,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
