දිසරික්කය,,ප්‍රාලද්ශිය,,ආපදාව,සිදුවීම
,,ලේකම්,,,
,,ලකාට්ටාසය,,,
රත්තනපුර,අයගම,,,නාය යාම්,"• 2021.06.04 දින උදෑසන 191/දුම්බර මැදදපාළ ග්‍රාම
නිළධ්‍ාරී වසදම් නිවසක්මතට පසර කණ්ඩඩියක් කඩා
වැටීම දහරතුදවන් ඒක් අදයකු මියදගාසර ඇති අතර ඒක්
අදයකු තුවාල ලබා ඇත. (අවුරුදු 16, දසත්තමිනි ලක්මාලි
දපදර්රා)"
,ඇහැළියදගාඩ,,,"පසර කඳු
කඩාවැටීම්","• 2021.06.04 දින වලව්ව ග්‍රාම නිළධ්‍ාරී වසදම් 408/B,
දපාේඅත්තත කදේ, මීන්නාන්න, ගැටහැත්තත යන
ලිපිනදේ නිවසක් මතට පසර කණ්ඩඩියක් කඩා වැටී ඒක්
පුේගලදයකු තුවාල ලබා දරෝහේ ගත කර ඇත."
,,,,නාය යාම්,"• ඇහැලියදගාඩ - කරඳන මාර්ගදේ දම්මුේල ජිනරතන
පාසල අසල මාර්ගය ගිලා බැස ඇත."
දකාළඹ,දකෝට්දට්,,,ගාංවතුර,"• දියවන්නා ඔදේ ජල මට්ටම ඉහල යාම දහරතුදවන්
පාර්ලිදම්න්තු සංකීර්ණ මාර්ගය ජලදයන් යටවීම සහ
ඒම අවධ්‍ානම වැලක්වීම සඳහා වැලිදකාට්ට ගැසීම
සිදුකරනු ලබයි."
,කඩුදවල,,,ගාංවතුර,"• 2021.06.03 දින නවගමුව ග්‍රාම නිලධ්‍ාරි වසදම් හරිත
දනව්ව යන සරථානය නිවාස 8ක් , අඩි එකහමාරක් පමණ
ජලදයන් යටවීම."
,දකාදළාන්නාව,,,ගාංවතුර,"• 2021.06.03 දින වැේලම්ිටිය බ්‍රැන්ඩියාවත්තත
ප්‍රදේශදේ නිවාස කිිපයක් පමණ ජලදයන් යටවී ඇත."
,"තිඹිරිගසයර ාය
(දදමටදගාඩ)",,,ගාංවතුර,"• 2021.06.04 දින මාවිල පටුමඟ නිවාස 70ක් පමණ අඩි
4ක් පමණ ජලදයන් යටවී ඇත."
ගම්පහ,කැළණිය,,,ගාංවතුර,"• 2021.06.03 දින කිරිබත්තදගාඩ ප්‍රදේශදේ අතුරුමාර්ග
සහ නිවාස දබාදහාමයක් ජලදයන් යටවී ඇත."
කළුතර,දහාරණ,,,ගාංවතුර,"• 2021.06.04 දින දපාකුණුවිට, වැලිකල ප්‍රදේශදේ
නිවාස 3ක් පමණ ජලදයන් යටවී ඇත."
,බණ්ඩඩාරගම,,,ගාංවතුර,"• අටලුගම ප්‍රදේශදේ නිවාස 10ක් පමණ ජලදයන් යටවී
ඇත."
,බදුරලිය,,,නාය යාම්,"• 2021.06.04 දින උදෑසන දබේලන ග්‍රාම නිළධ්‍ාරී
වසදම් නිවාස 3කට හානි සිදුවී ඇත."
පුත්තතලම,මහවැව,,,"ජල පහරකට
ගසා ලගන යෑම","• 2021.06.04 දින වයස අවුරුදු 15ක පිරිමි ළමදයකු කුඩා
ඇළ ජල පහරට හසු වී ගසා දගන දගාසර ඇත."
