Weather Forecast for Main Cities Date : 29-Aug-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,35,26,90,50,Mainly fair
Batticaloa,35,26,85,65,Showers or thundershowers are likely after 2.00p.m
Colombo,31,27,90,70,Showers at times
Galle,29,26,95,85,Showers at times
Jaffna,34,28,90,65,Mainly fair
Kandy,29,23,90,65,Showers at times
Nuwara-Eliya,19,15,95,85,Showers at times
Ratnapura,31,25,95,65,Showers at times
Trincomalee,38,27,80,40,Mainly fair
Mannar,31,27,90,70,Mainly fair
