River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.70,0.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.12,1.14,Normal,,7.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.35,9.31,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.22,1.18,Normal,,1.8,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.30,0.30,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.53,0.54,Normal,,3.2,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.70,0.70,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.52,0.47,Normal,,8.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.12,5.12,Normal,,1.8,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.25,1.24,Normal,,,18.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.48,3.45,Normal,,0.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.88,2.90,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.29,2.24,Normal,,6.6,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.16,3.22,Normal,,67.5,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.58,1.59,Alert,Rising,50.7,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.01,5.13,Alert,Rising,54.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.58,1.46,Normal,,58.2,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.49,0.48,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.85,0.85,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.32,0.32,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.64,0.64,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.37,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.18,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.94,0.93,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.51,0.51,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.52,0.52,Normal,,0.0,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.83,-0.84,Normal,,3,,3.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.31,0.30,Normal,,3,,3.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.82,-2.85,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.20,1.20,Normal,,0.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.95,0.94,Normal,,0.0,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.35,0.34,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.63,1.63,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.11,1.11,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.13,0.13,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.50,0.50,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.08,2.08,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.97,0.97,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.18,1.18,Normal,,0.0,,,
