River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.35,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.94,3.06,Normal,,46.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.00,11.22,Normal,,55.9,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.81,1.82,Normal,,28,,.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.15,1.35,Normal,,36,,.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.28,1.36,Normal,,43.6,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.87,Normal,,4.4,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.32,2.28,Normal,,1.2,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.79,6.88,Normal,,32,,.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.84,3.10,Normal,,42.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.54,2.62,Normal,,,16.9,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.70,5.68,Alert,Falling,,18.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.32,3.28,Normal,,4.7,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.39,2.38,Normal,,3.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.78,1.78,Minor Flood,,5.4,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.24,5.19,Alert,Falling,3.6,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.55,1.54,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.94,0.94,Normal,,1.2,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.06,1.05,Normal,,2.4,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.49,0.48,Normal,,2.3,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.39,1.39,Normal,,4.3,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.15,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.72,0.72,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.38,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.31,0.31,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.08,0.05,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.98,-3.02,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.10,2.09,Normal,,3.4,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.38,1.44,Normal,,27,,.2,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.28,0.27,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.52,1.52,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.46,0.46,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.04,1.05,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.31,0.31,Normal,,1.7,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.69,0.67,Normal,,5.1,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.71,2.73,Normal,,6.4,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.59,1.66,Normal,,,16.5,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.76,2.98,Normal,,,17.6,,
