"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය
/jpfjp / Date : 10th December 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp Date
of commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය පරිමාණ
වයාපාරික ස්ත්‍රථාන
சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"උතුරු පලාත
tl khfhzk
Northen",1,"යාපනය
aho;g;ghzk;
Jaffna",Kopay,(Burevi) Cyclone,,,,,,,,,,,2,9,33,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,0,0,0,0,2,9,33,
,2,"කිලිවනාච්චිය
fpspnehr;rp
Killinochchi",Karachchi,(Burevi) Cyclone,2020.12.02,720,2213,,,,,40,,6,,,,
,,,Kandawalai,,,249,676,,,,,8,,,,,,
,,,Poonakary,,,854,2228,,,,4,198,,,,,,
,,,Pachchilaipallal,,,299,983,,,,,34,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,2122,6100,0,0,0,4,280,0,6,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,2122,6100,0,0,0,4,280,0,6,2,9,33,
"ෙයඹ පලාත
tlNky;khfhzk
;North Western",3,"පුත්තලම
Gj;jsk;
Puttalam",Puttalama,High Wind,2020.12.03,481,1786,,,,,5,,,,,,
,,,Madampe,,,23,55,,,,,1,1,,,,,
,,,Wanathawilluwa,,,10,39,,,,,10,,,,,,
,,,Kalpitiya,,,189,596,,,,2,17,5,,,,,
,,,Karuwalagaswewa,,,2,5,,,,,2,,,,,,
,,,Pallama,,,1,4,,,,,1,1,,,,,
,,,Mahawewa,,,,5,,,,,,,,,,,
,,,Chilaw,Flood,2020.12.05,1535,6157,,,,,,1,,,,,
,,,Arachchikattuwa,,,81,279,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,2322,8926,0,0,0,2,36,8,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,2322,8926,0,0,0,2,36,8,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,4444,15026,0,0,0,6,316,8,6,2,9,33,
,,,"රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :
ආ ප ද ා කළමනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,
,,,"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
