"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :09th June 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,,Balangoda,,2024.06.01-02,6,23,,,,,4,,,,,,
,,,Opanayake,,2024.06.01-02,2,7,,,,,2,,,,,,
,,,Weligepola,,2024.06.01-02,2,10,,,,,2,,,,,,
,,,Imbulpe,,2024.06.02,5,17,,,,,2,,,,,,
,,,Kahawatta,,2024.06.02,9,28,,,,,8,1,,,,,
,,,Ebilipiya,,2024.06.06,2,4,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,15416,58706,5,4,0,21,2714,621,18,7,53,155,
,2,"කෑගල්ල
Nffhiy
Kegalle",Dehiovita,High Wind,2024.06.05,1,1,,,,,1,,,,,,
,,,Ruwanwella,Fire,2024.06.05,1,5,,,,1,,,,,,,
,,,Warakapola,Tree Fallen,2024.06.06,1,4,,,,,1,,,,,,
,,,Galigamuwa,Tree Fallen,2024.06.07,1,3,,,,,1,,,,,,
,,,Rambukkana,Cutting Failure,2024.06.04,,,1,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,13,1,0,0,1,3,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,15420,58719,6,4,0,22,2717,621,18,7,53,155,
"උතුරු පලොත
tl khfhzk;
Northen",3,"කිලින ොච්චිය
fpspnehr;rp
Killinochchi",Karachchi,Drought,2024.04.17,432,946,,,,,,,,,,,"Drinking water is being
distributed for drought
areas"
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,432,946,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,432,946,0,0,0,0,0,0,0,0,0,0,
,,"කළුතර
fSj;Jiw
Kalutara",Walallavita,Flood,2024.06.01/02,184,637,,1,,10,54,,,,,,
,,,Mathugama,Flash Flood,2024.06.01/02,515,1789,,,,,12,,,,,,
,,,Palindanuwara,Flood,2024.06.01/02,721,2593,,,,1,16,,,,,,
,4,,Bulathsinghla,Flood,2024.06.01/02,3517,12568,1,,,,10,,,,,,
,,,Dodangoda,Flood,2024.06.01/02,736,2752,,,,,736,,,,,,
,,,Horana,Flash Flood,2024.06.01/02,33,124,,,,,6,,,,,,
,,,Madurawela,Flood,2024.06.01/02,501,1900,,,,,7,,,,,,
,,,Millaniya,Flood,2024.06.01/02,1236,4759,2,,,3,1,,,,,,
,,,Ingiriya,Flood,2024.06.01/02,750,2814,,1,,1,20,,,,,,
,,,Agalawattha,Flood,2024.06.01/02,96,442,,,,1,4,,,,,,
,,,Kalutara,Flood,2024.06.01/02,411,1502,,,,2,8,,,,,,
,,,Beruwala,High Wind 2024.06.06,,2,7,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,8702,31887,3,2,0,18,876,0,0,0,0,0,
