"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
දිනය /jpfjp / Date : 16th May 2020 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",1,"කෑගල්ල
Nffhiy
Kegalle",Mawanella,Flash flood,2020.05.14,12,47,,,,,3,,,,,,
,,,Bulathkohupitiya,"High Wind
Cutting Failure/
Lightning",2020.05.13,1,2,,,,,1,,,,,,
,,,Deraniyagala,,2020.05.13,4,16,,,,,4,,,,,,
,,,Rambukkana,"Cutting Failure/
High Wind",2020.05.14,2,7,,,,,2,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,19,72,0,0,0,0,10,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,19,72,0,0,0,0,10,0,0,0,0,0,
"මධයම පලාත
kj;jpa khfhzk;
Central",2,"මහනුෙර
fz;b
Kandy",Paathadumbara,Tree falean,2020.05.16,3,12,,1,,,4,,,,,,
,,,Thumpane,High Wind,2020.05.14,1,4,,,,,1,,,,,,
,,,Poojapitiya,High Wind,2020.05.15,1,8,,,,,1,,,,,,
,,,Paathahewahata,High Wind,2020.05.16,1,6,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,6,30,0,1,0,0,6,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,6,30,0,1,0,0,6,0,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;
Southern",3,හම්බනවතාට,Walasmulla,Lightning,2020.05.14,1,5,,,,,1,,,,,,
,,"`k;ghe;Njhl;il
Hambantota",Beliatta,High Wind,,1,1,,,,,1,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,2,6,0,0,0,0,2,0,0,0,0,0,
,4,ගාල්ල/fhyp/Galle,Imaduwa,Lightning,2020.05.15,3,12,,2,,,3,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,3,12,0,2,0,0,3,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,5,18,0,2,0,0,5,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,30,120,0,3,0,0,21,0,0,0,0,0,
,,,"රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
