Weather Forecast for Main Cities Date : 11-Aug-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,34,25,90,55,Mainly fair
Batticaloa,33,25,90,60,Showers or thundershowers are likely after 2.00p.m
Colombo,31,27,90,70,Several spells of showers
Galle,29,25,95,75,Showers at times
Jaffna,33,27,80,60,Mainly fair
Kandy,27,22,95,80,Showers at times
Nuwara-Eliya,17,15,95,85,Showers at times
Ratnapura,29,25,95,85,Showers at times
Trincomalee,36,26,80,45,Showers or thundershowers are likely after 2.00p.m
Mannar,30,26,90,75,Mainly fair
