River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.50,1.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.27,1.25,Normal,,1.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.29,9.26,Normal,,6.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.78,1.74,Normal,,3.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.59,0.60,Normal,,3.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.50,0.54,Normal,,3.4,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.74,0.74,Normal,,5.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.55,0.51,Normal,,3.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.68,4.68,Normal,,3.3,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.20,1.20,Normal,,0.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.38,1.37,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.00,1.95,Normal,,0.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.20,1.19,Normal,,1.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.38,1.42,Normal,,1.3,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.50,0.49,Normal,,6.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.68,2.68,Normal,,6.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.68,0.68,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.46,0.46,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.99,0.98,Normal,,9.5,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.00,1.00,Normal,,6.3,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.01,1.02,Normal,,10.7,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.47,1.47,Normal,,5.4,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.10,0.10,Normal,,17.1,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.84,2.76,Normal,,16.1,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.23,1.24,Normal,,,35.3,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,3.62,3.20,Normal,,134.6,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,3.50,3.63,Alert,Rising,18.6,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,0.78,1.01,Normal,,5,,8.1
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.63,2.78,Normal,,16.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.99,Normal,,5.7,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.39,1.33,Normal,,,46.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,5.47,5.45,Normal,,9.7,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.26,1.26,Normal,,10.9,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.38,4.48,Normal,,8.4,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.30,1.31,Normal,,11.1,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.51,1.50,Normal,,2.8,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.32,2.33,Normal,,3.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.19,1.19,Normal,,6.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.35,1.35,Normal,,3.2,,
