"Western
Nky; khfhzk
;බසර ොහිර පලොත",6,"කළුතර
fSj;Jiw
Kalutara",Walallawita,2024.07.14/15,2024.07.14/15,9,36,,,,,9,,,,,,
,,,Agalawatta,,2024.07.15,2,4,,,,,2,,,,,,
,,,Bandaragama,,,1,4,,,,,1,,,,,,
,,,Ingiriya,,2024.07.13/15,9,40,,,,,6,,,,,,
,,,Horana,,,3,11,,,,,3,,,,,,
,,,Beruwala,,,4,17,,,,,4,,,,,,
,,,Bulathsinhala,,2024.07.15,2,9,,,,,2,,,,,,
,,,Kaluthara,,2024.07.15,3,9,,,,,3,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,33,130,0,0,0,0,30,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,33,130,0,0,0,0,30,0,0,0,0,0,
"ැනග හිර පලොත
fpof;F
Eastern",8,"අම්පොර
mk;ghiw
Ampara",Addalachchenai,Boat Missing,2024.07.13,,,,,2,,,,,,,,"02 Persons have gone
to sea for fishing
activities"
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,0,0,0,0,2,0,0,0,0,0,0,0,
,,"ත්‍රීකුණොමලය
jp.kiy
Trincomalee",Muthur,High wind,2024.07.15,1,4,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,4,0,0,0,0,1,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1,4,0,0,2,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,8414,26452,0,1,2,0,53,1,0,2,4,21,
,,,ආ ප ද ො කළම ොකරණ මධ්‍යසරථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්සර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"නවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
