Weather Forecast for Main Cities Date : 6-Jan-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,28,23,95,60,Several spells of showers
Batticaloa,29,25,95,70,Showers at times
Colombo,31,24,90,60,Showers or thundershowers are likely after 2.00p.m
Galle,29,24,95,75,Showers or thundershowers after 2.00p.m
Jaffna,29,25,85,60,A few showers
Kandy,26,20,95,65,Showers or thundershowers after 2.00p.m
Nuwara-Eliya,18,12,95,65,Showers at times
Ratnapura,31,22,95,60,Showers or thundershowers after 2.00p.m
Trincomalee,28,24,95,70,Showers at times
Mannar,29,25,90,65,A few showers
