River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.90,1.10,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.71,0.72,Normal,,4.6,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.88,8.85,Normal,,10.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.55,1.33,Normal,,9.4,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.36,0.36,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.24,0.19,Normal,,46.8,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.75,0.73,Normal,,2.4,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.50,0.47,Normal,,0.8,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.57,4.55,Normal,,32.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.90,0.93,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.17,1.16,Normal,,10.2,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.30,2.24,Normal,,2,2.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,0.93,0.90,Normal,,13.2,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.27,1.25,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.31,0.26,Normal,,6.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,1.99,1.99,Normal,,2.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.28,0.27,Normal,,2.7,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.07,-0.07,Normal,,0.5,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.87,0.88,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.80,0.80,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.20,1.26,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.41,1.41,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.08,-0.08,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.64,0.64,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.45,0.38,Normal,,53.1,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.45,0.50,Normal,,1.4,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.12,-3.13,Normal,,35.9,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.27,1.28,Normal,,3.7,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.85,0.84,Normal,,14.6,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.37,0.40,Normal,,0.4,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.96,1.97,Normal,,8.9,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.59,0.59,Normal,,2.5,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.59,2.65,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.36,0.39,Normal,,11.1,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.49,0.49,Normal,,3.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.44,1.52,Normal,,5.8,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.43,1.39,Normal,,4.2,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.96,0.96,Normal,,13.5,,,
