"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date : 26th March 2023 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,125,445,2,6,0,3,89,0,0,1,71,242,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,125,445,2,6,0,3,89,0,0,1,71,242,
,2,"රත්නපුර
,uj;jpdGhp
Rathnapura",Balangoda,Heavy rain,2023.03.23,2,7,,,,,2,,,,,,
,,,,Lightning,2023.03.23,,,1,,,,,,,,,,
,,,Opanayake,Heavy rain and Wind,2023.03.24,1,4,,,,,1,,,,,,
,,,Elapatha,Lightning/Wind,2023.03.23,3,13,,,,,3,,,,,,
,,,Kuruvita,High wind,2023.03.24,1,1,,,,,1,,,,,,
,,,Weligapola,High wind,2023.03.23,1,4,,,,,1,,,,,,
,,,Rathnapura,Heavy Rain,2023.03.23,2,2,,,,,2,,,,,,
,,,Ibulpe,High Wind,2023.03.22,1,7,,,,,1,,,,,,
,,,Kalawana,Lightning,2023.03.24,4,19,,,,,4,,,,,,
ස්ත්‍බරගමුව පලාත,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,15,57,1,0,0,0,15,0,0,0,0,0,
"rg;ufKt
Sabaragamuwa",3,"කෑගල්ල
Nffhiy
Kegalle",Deraniyagala,Lightning/Treefollan,2023.03.23,3,12,,,,,3,,,,,,
,,,Dehiovita,Lightning,2023.03.23,1,4,,,,,1,,,,,,
,,,Mawanella,Heavy rain,2023.03.23,16,60,,,,,16,,,,,,
,,,Bulathkohupitiya,Heavy rain,2023.03.23,11,52,,,,,11,,,,,,
,,,Kegalle,High Wind,2023.03.23,6,25,,,,,6,,,,,,
,,,Rambukkana,High Wind,2023.03.23,7,24,,,,,7,,,,,,
,,,Yatiyantota,High Wind,2023.03.23,4,20,,,,,4,,,,,,
,,,Galigamuwa,High Wind,2023.03.23,3,11,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,51,208,0,0,0,0,51,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,66,265,1,0,0,0,66,0,0,0,0,0,
"උතුරුමැද පලාත
tlkj;jpa
khfhzk;",4,"අනුරාධපුර
m.Guk;
Anuradhapura",Kebithigollewa,High Wind,2023.03.21,15,56,,,,1,3,,,,,,
,,,Kahatagasdigiliya,,2023.03.22,5,23,,,,,3,2,,,,,
,,,Nochchiyagama,Lightning,2023.03.22,1,4,1,,,,,,,,,,
,,,Palugaswewa,Lightning,2023.03.22,2,9,,,,,2,,,,,,
,,,Galnewa,High Wind,2023.03.19,1,6,,,,,1,,,,,,
North Central,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,24,98,1,0,0,1,9,2,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,24,98,1,0,0,1,9,2,0,0,0,0,
