"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :27th June 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,26,101,1,1,0,0,26,0,0,3,5,24,
,,,Deraniyagala,Tree Fallen,2024.06.25,2,8,,,,,2,,,,,,
,,,Warakapola,Tree Fallen,2024.06.25,2,6,,,,,2,,,,,,
,,,Dehiovita,Tree Fallen,2024.06.25,2,4,,,,,2,,,,,,
,,කෑගල්ල,Kegalle,Tree Fallen,2024.06.26,1,2,,,,,1,,,,,,
,2,Nffhiy,Yatiyanthota,Tree Fallen,2024.06.25,3,12,,,,,3,,,,,,
,,Kegalle,Galigamuwa,Tree Fallen,2024.06.25,1,4,,,,,1,,,,,,
,,,Ruwanwella,High wind,2024.06.26,2,6,,,,,2,1,,,,,
,,,Mawanella,Tree Fallen,2024.06.26,1,2,,,,,1,,,,,,
,,,Rambukkana,Tree Fallen,2024.06.26,2,9,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,16,53,0,0,0,0,16,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,42,101,1,1,0,0,26,0,0,3,5,24,
"උතුරු පලොත
tl khfhzk;
Northen",3,"කිලින ොච්චිය
fpspnehr;rp
Killinochchi",Karachchi,Drought,2024.06.24,239,732,,,,,,,,,,,"Drinking water is being
distributed for drought
areas"
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,239,732,0,0,0,0,0,0,0,0,0,0,
,4,"යොප ය
aho;g;ghzk;
Jaffna",Karainagar,High wind,2024.06.24,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,4,0,0,0,0,1,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,239,732,0,0,0,0,0,0,0,0,0,0,
"වයඹ පලොත
tlNky;
khfhzk;
North Western",5,"කුරු ෑගල
FUdhfy;
Kurunegala",Maspotha,Tornado,2024.06.24,63,281,,,,,63,,,,,,
,,,Ibbagamuwa,High wind,2026.06.24,1,2,,,,,1,,,,,,
,,,Bamunukotuwa,High wind,2024.06.24,1,5,,,,,1,,,,,,
,,,Udubaddawa,High wind,2024.06.24,7,18,,,,,7,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,72,306,0,0,0,0,72,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,72,306,0,0,0,0,72,0,0,0,0,0,
