Date : 19-Dec-2025,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,29,22,95,80,Several spells of showers
Batticaloa,29,24,95,85,Showers at times
Colombo,30,24,90,65,Showers or thundershowers after 2.00p.m
Galle,29,24,90,70,Showers or thundershowers after 2.00p.m
Jaffna,29,23,90,75,Mainly fair
Kandy,27,22,95,80,Several spells of showers
Nuwara-Eliya,18,14,95,80,Several spells of showers
Ratnapura,33,23,95,75,Showers or thundershowers after 2.00p.m
Trincomalee,29,25,90,80,Showers at times
Mannar,29,23,90,75,A few showers
