"වයඹ පලාත
tlNky;
khfhzk;
North Western",12,"පුත්තලම
Gj;jsk;
Puttalam",Mahawewa,Highwind,2020.09.10,1,5,Page 4,,,,1,,,,,,Situ
,,,Wennappuwa,Highwind,2020.09.09,202,900,,,,,7,,,,,,
,,,Dankotuwa,Flood,2020.09.09,68,252,,,,,5,,,,,,
,,,Nattandiya,Flood,2020.09.09,164,587,,,,,,,,2,7,22,"E/ Weerahena Kokwalamulla
Kovil & Nattandiya
Neegrodaramaya"
,,,Madampe,Flood,2020.09.09,17,42,,,,,,5,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,452,1786,0,0,0,0,13,5,0,2,7,22,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,452,1786,0,0,0,0,13,5,0,2,7,22,
,13,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,High wind,2020.09.08,3,9,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
නැමගනහිර පලාත,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
"fpof;F
Eastern",14,"මඩකලපුව
kl;lf;fsg;G
Batticaloa",Eraurpattu,High wind,2020.09.09,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,3,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,4,12,0,3,0,0,1,0,0,0,0,0,
"උතුරුමැද පලාත
tlkj;jpa
khfhzk;
North Central",15,"මපාමලානනරුව
nghyd;dWit
Polonnaruwa",Elahera,Lightning,2020.09.02,1,3,,,,,1,,,,,,
,,,Thamankaduwa,High Wind,2020.08.31,4,12,,,,,4,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,5,15,0,0,0,0,5,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,5,15,0,0,0,0,5,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,6187,23076,3,14,0,42,752,34,0,11,219,925,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
මවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
……………………………………………………….,,,,,,,,,,,,,,,,,,
