"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Drought Situation Report- Sri Lanka
දිනය /jpfjp / Date : 05th May 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
සබරගමුව පලාත,1,"කෑගල්ල
Nffhiy
Kegalle","Ruwanwella
Bulathkohupitiya",Drought,2020.01.17,712,3383,,,,,,,,,,,Distribution of drinking water
,,,,,2020.02.10,461,1850,,,,,,,,,,,
,,,Deraniyagala,,2020.02.06,650,2810,,,,,,,,,,,
,,,Mawanella,,2020.01.16,2017,7083,,,,,,,,,,,
,,,Galigamuwa,,2020.02.13,601,2459,,,,,,,,,,,
,,,Kegalle,,2020.03.02,1237,3630,,,,,,,,,,,
,,,Aranayaka,,2020.03.01,1361,5140,,,,,,,,,,,
,,,Dehiowita,,2020.03.06,197,604,,,,,,,,,,,
,,,Warakapola,,2020.02.20,4057,15157,,,,,,,,,,,
"rg;ufKt
Sabaragamuwa",දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,11293,42116,0,0,0,0,0,0,0,0,0,0,
,2,"රත්නපුර
,uj;jpdGhp
Rathnapura",Eheliyagoda,Drought,2020.03.04,2462,9330,,,,,,,,,,,Distribution of drinking water
,,,Pelmadulla,,2020.03.04,1301,5371,,,,,,,,,,,
