"මධයම පලාත
kj;jpa khfhzk;
Central",7,"නුවර
fz;b
Kandy",Udunuwara,Heavy Rain,2023.11.02,1,4,,,,,,,,1,1,4,
,,,,,2023.11.06,2,9,,,,,2,,,,,,
,,,,,2023.11.07,9,46,,,,,5,,,,,,
,,,Pathahewaheta,Rock Fallen,2023.11.05,1,3,,,,,1,,,1,5,14,
,,,Gangawata Korale,Heavy Rain,2023.11.06,1,5,,,,,1,,,,,,
,,,Akurana,High Wind,2023.11.06,1,4,,,,,1,,,,,,
,,,,High Wind,2023.11.07,2,8,,,,,2,,,,,,
,,,Doluwa,Heavy Rain,2023.11.05,1,2,,,,,1,,,,,,
,,,,Heavy Rain,2023.11.04,1,4,,,,,1,`,,,,,
,,,Ududumbara,Heavy Rain,2023.11.05,1,6,,,,,1,,,,,,
,,,Thumpane,Heavy Rain,2023.11.07,1,4,,,,,1,,,,,,
,,,Medadumbara,Cutting Faliure,2023.11.06,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,22,97,0,0,0,0,17,0,0,2,6,18,
,8,"මාත්ල්
khj;jis
Matale",Pallepola,Heavy Rain,2023.11.06,1,1,,,,,1,,,,,,
,,,Dambulla,Heavy Rain,2023.11.07,1,4,,,,,1,,,,,,
,,,Raththota,Heavy Rain,2023.11.05,2,5,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,10,0,0,0,0,4,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,26,107,0,0,0,0,21,0,0,2,6,18,
,9,"රත්නපුර
,uj;jpdGhp
Rathnapura",Godakawela,High Wind,2023.11.06,1,5,,,,,1,,,,,,
,,,Kahawaaththa,Heavy Rain,2023.11.06,1,4,,,,,1,,,,,,
,,,Nivithigala,Cutting Faliure,2023.11.06,1,5,,,,,,,,,,,
,,,Opanayake,Landslide Risk,2023.11.06,2,7,,,,,,,,,,,
,,,Balangoda,Landslide,2023.11.06,1,2,,,,,1,,,,,,
,,,,Cutting Faliure,2023.11.06,1,5,,,,,1,,,,,,
,,,Elapatha,Heavy Rain,2023.11.06,1,4,,,,,1,,,,,,
,,,Kalawana,Heavy Rain,2023.11.06,2,9,,,,,2,,,,,,
,,,Weligepola,Landslide Risk,2023.11.06,1,5,,,,,,,,,,,
ස්ත්‍බර මුව පලාත,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,11,46,0,0,0,0,2,0,0,0,0,0,
"rg;ufKt
Sabaragamuwa",10,"කෑ ල්ල
Nffhiy
Kegalle",Galigamuwa,Tree Fallen,2023.11.06,4,12,,,,,4,,,,,,
,,,Warakapola,High Wind,2023.11.06,2,7,,,,,2,,,,,,
,,,Yatiyanthota,Lightning,2023.11.06,2,7,,,,,2,,,,,,
,,,Mawanella,Tree Fallen,2023.11.06,1,5,,,,,1,,,,,,
,,,,Lightning,2023.11.06,2,9,,,,,1,,,,,,
,,,,Cutting Faliure,2023.11.06,1,5,,,,,1,,,,,,
,,,Dehiovita,Lightning,2023.11.06,3,12,,,,,3,,,,,,
,,,,High Wind,2023.11.06,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,16,59,0,0,0,0,15,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,27,105,0,0,0,0,17,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,3935,14558,0,0,0,2,162,0,0,22,371,1350,
,,,ආ ප ද ා කළමනාකරණ මධයස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
,,,ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"්වබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
