"Locations for Potential Risk
නායයෑපම් අවදානම ෙැවතිය හැකි ප්‍රපේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,"Haldummulla,
Haputhale,
Ella and
Hali Ela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kandy,"Udapalatha,
Udunuwara and
Yatinuwara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"Mawanella,
Galigamuwa,
Warakapola,
* Bulathkohupitiya,
Kegalle,
Dehiowita and
Yatiyanthota
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kurunegala,"Mawathagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,"* Kothmale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Ratnapura,"Kalawana,
Ratnapura,
Balangoda and
Imbulpe
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas,,,
and given weather forecast by meteorological department of Sri Lanka,,,
