"Weather Forecast for Main Cities
Date : 19-Aug-2026",,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,36,26,90,50,Mainly fair
Batticaloa,36,27,90,65,Showers or thundershowers are likely after 4.00p.m
Colombo,31,27,90,75,Several spells of showers
Galle,29,26,95,80,Several spells of showers
Jaffna,34,27,90,65,Mainly fair
Kandy,29,22,95,70,Several spells of showers
Nuwara-Eliya,20,13,95,85,Several spells of showers
Ratnapura,30,25,95,85,Several spells of showers
Trincomalee,37,26,75,45,Showers or thundershowers are likely after 4.00p.m
Mannar,31,27,90,75,A few showers
