River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.00,3.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.06,4.97,Normal,,1.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.07,10.96,Normal,,2.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.63,1.69,Normal,,9.3,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.56,0.58,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.34,1.29,Normal,,,3.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.66,0.66,Normal,,0.5,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.30,3.30,Alert,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.14,10.10,Alert,Falling,1.9,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.76,4.69,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.57,2.52,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.66,6.61,Minor Flood,Falling,1.8,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.95,1.92,Normal,,5,,.3,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.78,1.80,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.35,0.32,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.62,2.57,Normal,,0.3,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.62,0.62,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.14,0.12,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.95,0.93,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.69,0.69,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.92,0.92,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.36,1.35,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.13,-0.13,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.68,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.44,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.12,0.12,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.12,0.13,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-3.10,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.48,1.44,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.17,1.17,Normal,,10.9,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.27,0.26,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.29,1.29,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.62,0.62,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.78,2.77,Normal,,0.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.32,1.31,Normal,,0.3,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.11,4.05,Alert,Falling,0.0,,,
