,11,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Rock Fallen,2020.09.06,16,49,Page 3,,,,,,,1,16,44,"Situ
Gangarama Temple"
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,49,0,0,0,0,0,0,0,1,16,44,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,738,3040,1,5,0,3,232,1,0,2,17,49,
"වයඹ පලාත
tlNky;
khfhzk; North
Western",12,"පුත්තලම Gj;jsk;
Puttalam",Kalpitiya,Wind,2020.09.07,1,3,,,,,1,,,,,,
,,,Chilaw,,,1,4,,,,,1,,1,,,,
,,,Mundalam,Rain & Wind,2020.09.06,2,6,,,,,2,,,,,,
,,,Wanathavilluwa,High wind,2020.09.07,1,4,,,,,,1,,,,,
,,,Wennappuwa,Rain & Wind,,99,454,,,,,4,,,,,,
,,,Anamaduwa,Lightning,2020.09.06,1,5,,,,,1,,,,,,
,,,Dankotuwa,Rain & flood,2020.09.07,53,200,,,,,5,,,,,,
,,,Naththandiya,Wind,,1,4,,,,,1,,1,,,,
,,,,Flood,2020.09.08,71,270,,,,,1,1,,1,4,12,"Veerahena Pokkalamulla
kovil"
,,,Mahawewa,Flood,2020.09.08,400,1400,,,,,,,,,,,
,,,,Lightning,2020.09.07,1,5,,,,,1,,,,,,
,,,,Wind,2020.09.08,1,3,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,632,2358,0,0,0,0,18,2,2,1,4,12,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,632,2358,0,0,0,0,18,2,2,1,4,12,
"නැමගනහිර පලාත
fpof;F Eastern",13,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,High wind,2020.09.08,3,9,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,1750,6857,2,9,0,41,554,10,2,6,70,252,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධ්‍යසරථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්සර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
මවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
……………………………………………………….,,,,,,,,,,,,,,,,,,
