,9,"මන්නාරම
kd;dhH Mannar",Mannar Town,Lightning & Thunder,202305.09,1,6,,,,,1,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,6,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,78,239,0,0,0,0,13,0,2,0,0,0,
"වයඹ පලාත
tlNky; khfhzk;
North Western",10,"පුත්තලම
Gj;jsk;
Puttalam",Chilaw,Flash flood,2023.05.07,150,580,,,,,1,,,,,,
,,,Wennappuwa,Flash flood,2023.05.07,8,37,,,,,,,,,,,
,,,Mundalama,Flash flood,2023.05.07,6,24,,,,,1,,,1,6,24,"Sisil Pawana Community
hall"
,,,Mahawewa,Flash flood,2023.05.07,1,5,,,,,,,,,,,
,,,Arachchikattuwa,Flood,2023.05.08,87,282,,,,,,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,252,928,0,0,0,0,2,0,0,1,6,24,
,11,"කුරුණෑෙල
FUdhfy;
Kurunegala",Alauwwa,High Wind,2023.05.02,1,6,,,,,1,,,,,,
,,,,Tree Fallen,2023.05.07,1,1,,1,,,1,,,,,,
,,,Polgahawela,Tree Fallen,2023.05.02,1,5,,,,,1,,,,,,
,,,,High Wind,2023.05.03,1,3,,,,,1,,,,,,
,,,Panduwasnuwara West,Lightning,2023.05.02,1,3,,,,,1,,,,,,
,,,Kuliyapitiya East,High Wind,2023.05.01,1,4,,,,,1,,,,,,
,,,,,2023.05.04,1,6,,,,,1,,,,,,
,,,,,2023.05.07,1,5,,,,,1,,,,,,
,,,,Lightning,2023.05.01,1,4,,,,,1,,,,,,
,,,,Heavy Rain,2023.05.06,1,4,,,,,1,,,,,,
,,,Narammala,High Wind & Rain,2023.05.03,2,4,,,,,2,,,,,,
,,,Kurunegala,High Wind,2023.05.05,3,9,,,,,2,1,,,,,
,,,,High Wind,2023.05.07,1,3,,,,,1,,,,,,
,,,Rideegama,High Wind & Rain,2023.05.04,1,1,,,,,1,,,,,,
,,,,,2023.05.07,1,4,,,,,1,,,,,,
,,,Nikaweratiya,High Wind,2023.05.07,1,5,,,,,1,,,,,,
,,,Kobeigane,Flood,2023.05.07,8,30,,,,,8,,,,,,
,,,Udubaddawa,Flood,2023.05.07,2,5,,,,,2,,,,,,
,,,Kotawehera,Flood,2023.05.07,1,3,,,,,1,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,30,105,0,1,0,0,29,1,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,282,1033,0,1,0,0,31,1,0,1,6,24,
"උතුරුමැද පලාත
tlkj;jpa
khfhzk;
North Central",12,"අනුරාධ්‍පුර
m.Guk;
Anuradhapura",Thambuttegama,High Wind,2023.05.02,1,4,,,,,1,,,,,,
,,,Horowpothana,Heavy Rain,2023.05.01,1,1,,,,,1,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2,5,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,2,5,0,0,,0,2,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,572,2055,0,7,0,3,190,3,2,3,88,307,
,,,ආ ප ද ා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,
,,,ෆැක්ස්/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"ගවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
